,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.38,0.51,0.11,0.68,0.17,0.48,0.1,0.26,0.0,0.36
fulguro.csv,0.56,0.48,0.46,0.27,0.33,0.06,0.54,0.01,0.58,0.39
fw4spl.csv,0.43,0.4,0.36,0.45,0.64,0.17,0.62,0.43,0.26,0.39
google-web-toolkit.csv,0.3,0.42,0.27,0.28,0.4,0.38,0.58,0.66,0.49,0.48
jstock.csv,0.46,0.3,0.25,0.4,0.24,0.52,0.66,0.49,0.84,0.49
ldview.csv,0.47,0.65,0.5,0.5,0.61,0.67,0.63,0.54,0.75,0.72
nuttx.csv,0.2,0.12,0.65,0.14,0.38,0.47,0.56,0.39,0.43,0.21
utgb.csv,0.06,0.44,0.32,0.28,0.73,0.28,0.62,0.21,0.18,0.39
vdsf.csv,0.62,0.41,0.19,0.55,0.35,0.59,0.26,0.49,0.28,0.69
xbrlapi.csv,0.69,0.0,0.01,0.28,0.44,0.17,0.39,0.37,0.52,0.57
