,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.53,0.54,0.94,0.64,0.8,0.6,0.98,0.9,0.92,0.53
fulguro.csv,0.42,0.43,0.76,0.89,0.43,0.67,0.63,0.67,0.4,0.7
fw4spl.csv,0.55,0.53,0.6,0.55,0.45,0.88,0.59,0.67,0.6,0.57
google-web-toolkit.csv,0.35,0.51,0.7,0.47,0.52,0.55,0.45,0.48,0.57,0.61
jstock.csv,0.48,0.8,0.74,0.41,0.92,0.42,0.44,0.51,0.58,0.45
ldview.csv,0.43,0.42,0.64,0.39,0.39,0.52,0.45,0.45,0.41,0.43
nuttx.csv,0.93,0.96,0.71,0.65,0.68,0.45,0.51,0.57,0.69,0.88
utgb.csv,0.89,0.54,0.65,0.95,0.5,0.58,0.48,0.94,0.83,0.56
vdsf.csv,0.44,0.99,0.68,0.66,0.39,0.64,0.78,0.51,0.38,0.51
xbrlapi.csv,0.44,0.0,0.0,0.77,0.5,0.83,0.64,0.77,0.5,0.5
