,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.07,0.21,0.38,0.39,0.29,0.32,0.53,0.0,0.23,0.12,0.33,0.31,0.37,0.5,0.5
amateur-scrolls.csv,0.21,0.02,0.0,0.17,0.52,0.18,0.08,0.0,0.05,0.03,0.01,0.15,0.02,0.28,0.0
arianne.csv,0.93,0.95,0.75,1.0,0.69,0.26,0.77,1.0,1.0,0.97,0.94,0.88,1.0,0.96,0.92
bl-toolkit.csv,0.14,0.65,0.33,0.84,0.45,0.72,0.48,0.6,0.23,0.88,0.99,0.7,1.0,0.93,0.65
doomlegacy.csv,1.0,0.7,0.92,0.87,0.71,0.72,0.52,1.0,0.27,0.47,0.98,0.66,0.27,0.67,0.31
enlightenment.csv,1.0,1.0,0.24,1.0,0.84,0.98,1.0,1.0,1.0,1.0,0.33,1.0,0.88,1.0,1.0
fritzing.csv,0.5,0.29,0.41,0.29,0.31,0.23,0.27,0.4,0.64,0.31,0.32,0.45,0.27,0.11,0.12
gnukeda.csv,0.14,0.5,0.7,0.77,0.94,0.64,0.89,0.0,0.18,0.28,0.4,0.53,0.25,0.83,0.96
jlinalg.csv,0.29,0.53,0.41,0.57,0.91,0.77,0.81,0.2,0.23,0.31,0.6,0.44,0.51,0.91,0.92
knowledge.csv,0.14,0.33,0.49,0.56,0.52,0.29,0.84,0.0,0.64,0.28,0.56,0.63,0.89,0.7,0.81
massiv.csv,0.0,0.02,0.1,0.04,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.24,0.0
playerstage.csv,0.07,0.45,0.33,0.56,0.55,0.46,0.22,0.4,0.23,0.22,0.42,0.41,0.87,0.37,0.23
psycle.csv,0.21,0.35,0.8,0.76,0.57,0.62,0.71,0.4,0.45,0.5,0.65,0.69,0.53,0.7,0.58
superwaba.csv,0.14,0.13,0.25,0.28,0.3,0.2,0.12,0.2,0.18,0.16,0.1,0.23,0.44,0.33,0.31
wxcrp.csv,1.0,0.55,0.91,0.24,0.81,0.79,0.76,0.4,0.82,0.62,0.66,0.7,0.52,0.3,0.65
