,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.75,0.75,0.59,0.82
freelords.csv,0.75,0.97,0.62,0.73
jfreereport.csv,0.08,0.43,0.2,0.36
super-tux.csv,0.92,0.48,0.33,0.9
