,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.99,0.38,0.4,0.56,0.55,0.1,0.5
freebios.csv,0.67,0.44,0.99,0.66,0.6,0.17,0.29
k3b.csv,0.73,0.51,0.58,1.0,0.6,0.14,0.52
loki-lib.csv,0.71,0.51,0.47,0.7,0.47,0.07,0.97
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0
quarkplusplus.csv,0.49,0.16,0.11,0.28,0.98,0.21,0.3
tzod.csv,0.43,0.96,0.29,0.52,0.35,0.13,0.45
