,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.12,0.25,0.03,0.33,0.51,0.09,1.0,0.26,0.52,0.12,0.22,0.07,0.7,0.07,0.56,0.09,0.11,0.22,0.32
bzbyte.csv,0.96,0.47,0.97,0.46,0.73,0.88,0.74,0.85,0.85,0.95,1.0,0.98,0.91,0.95,0.62,0.65,0.93,0.48,0.88
chrysalis.csv,0.28,0.34,0.18,0.91,0.7,0.86,0.52,0.37,0.71,0.33,0.33,0.37,0.65,0.3,0.5,0.98,0.93,0.67,0.63
dspace-gsoc.csv,0.32,0.22,0.24,0.41,0.21,0.11,0.33,0.54,0.35,0.31,1.0,0.26,0.66,0.41,0.06,0.07,0.22,0.14,0.44
fbmanager.csv,0.59,0.44,1.0,0.65,0.68,0.43,0.59,0.63,0.56,0.36,0.64,0.53,0.58,0.5,0.65,0.28,0.48,0.53,0.61
fityk.csv,0.54,0.66,0.74,0.74,0.75,0.46,0.52,0.85,0.62,0.43,0.72,0.67,0.72,1.0,0.5,0.48,0.63,0.71,0.78
fleet-simulator.csv,0.84,0.88,0.79,0.91,0.93,0.64,0.67,0.82,0.88,0.83,0.86,0.63,0.91,0.84,0.85,1.0,0.81,0.67,0.86
freenet.csv,0.12,0.53,0.44,0.63,0.99,0.46,0.7,0.58,0.73,0.09,0.92,0.54,0.77,0.11,0.59,0.26,0.3,0.5,0.74
google-caja.csv,0.5,0.62,0.59,0.63,0.69,0.73,0.78,1.0,0.67,0.38,0.72,0.77,0.82,0.66,0.82,0.69,0.56,0.74,0.77
k3b.csv,0.5,0.66,0.62,0.57,0.63,0.43,0.56,0.62,0.73,0.98,0.47,0.6,0.82,0.45,0.74,0.43,0.48,0.55,0.63
mediaportal.csv,0.06,0.5,0.03,0.8,0.55,0.8,0.59,0.79,0.4,0.0,0.06,0.56,0.78,0.05,0.32,1.0,0.63,0.57,0.76
myfaces.csv,0.94,0.84,0.97,0.93,0.91,0.84,0.81,0.78,0.9,0.91,0.94,0.86,0.74,0.93,0.35,1.0,0.81,0.4,0.88
onotoa.csv,0.87,0.66,0.76,0.46,0.79,1.0,0.67,0.63,0.62,0.6,0.61,0.56,0.5,0.68,0.59,0.78,0.78,0.33,0.64
paintown.csv,0.99,0.44,0.47,0.61,0.55,0.42,0.37,0.54,0.75,0.57,0.28,0.53,0.68,0.41,0.68,0.56,0.63,0.38,0.61
poormans.csv,0.53,0.62,0.65,0.7,0.61,0.24,0.52,0.4,0.54,0.72,0.36,0.33,0.68,0.45,0.91,0.8,0.33,0.83,0.39
sqlpower-library.csv,0.21,0.66,0.09,0.98,0.84,0.47,0.93,0.79,0.65,0.22,0.28,0.77,0.84,0.2,0.85,0.93,0.37,0.69,0.88
triplea.csv,0.76,1.0,0.68,0.76,0.85,0.55,0.48,0.79,0.88,0.74,0.78,0.68,0.79,0.73,0.91,0.89,0.89,0.62,0.84
xamj.csv,0.85,0.84,0.85,0.98,0.86,0.8,0.7,0.73,0.67,0.86,0.61,0.7,0.8,0.77,0.53,0.8,0.52,0.76,0.94
