,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.04,0.14,0.06,0.06,0.29,0.0,0.0,0.07,0.08,0.0,0.16,0.06,0.41,0.05,0.12,0.0,0.01,0.0,0.05
bzbyte.csv,0.96,0.43,0.97,0.41,0.66,1.0,0.7,0.89,0.87,1.0,1.0,0.0,0.91,1.0,0.66,0.0,0.75,0.0,0.81
chrysalis.csv,0.11,0.29,0.1,0.94,0.83,0.75,0.19,0.22,0.42,0.25,0.58,0.33,0.39,0.18,0.21,1.0,0.0,0.0,0.32
dspace-gsoc.csv,0.15,0.29,0.06,0.35,0.07,0.12,0.15,0.37,0.37,0.12,0.0,0.28,0.56,0.36,0.23,0.0,0.03,1.0,0.32
fbmanager.csv,0.48,0.33,0.03,0.24,0.59,0.44,0.33,0.56,0.53,0.42,0.63,0.44,0.36,0.59,0.49,0.12,0.46,0.0,0.74
fityk.csv,0.23,0.67,0.39,0.41,0.56,0.44,0.37,0.44,0.35,0.38,0.63,0.5,0.62,0.05,0.28,0.0,0.28,0.0,0.61
fleet-simulator.csv,0.66,0.57,0.74,0.88,0.86,0.69,0.63,0.67,0.52,0.71,0.79,0.72,0.8,0.73,0.55,0.0,0.42,0.0,0.66
freenet.csv,0.19,0.57,0.39,0.65,0.02,0.5,0.59,0.22,0.62,0.12,0.95,0.44,0.51,0.09,0.4,0.38,0.32,0.0,0.48
google-caja.csv,0.22,0.76,0.19,0.29,0.58,0.56,0.56,0.0,0.57,0.21,0.63,0.89,0.61,0.68,0.41,0.0,0.31,0.0,0.51
k3b.csv,0.22,0.67,0.42,0.24,0.41,0.38,0.22,0.22,0.29,0.0,0.47,0.28,0.59,0.36,0.38,0.0,0.18,0.0,0.29
mediaportal.csv,0.04,0.71,0.0,0.94,0.76,0.56,0.78,0.89,0.73,0.0,0.16,0.78,0.02,0.05,0.86,1.0,0.86,1.0,0.93
myfaces.csv,0.97,0.62,0.94,0.94,0.91,0.75,0.85,0.96,0.01,0.92,0.74,0.94,0.86,0.86,0.73,1.0,0.95,0.0,0.92
onotoa.csv,0.88,0.52,0.71,0.18,0.7,0.06,0.78,0.56,0.79,0.71,0.74,0.61,0.41,0.82,0.7,1.0,0.78,1.0,0.75
paintown.csv,0.0,0.29,0.29,0.29,0.25,0.44,0.15,0.3,0.48,0.38,0.26,0.56,0.46,0.23,0.34,0.12,0.42,1.0,0.33
poormans.csv,0.71,0.62,0.77,0.47,0.37,0.38,0.3,0.41,0.14,0.62,0.26,0.33,0.7,0.27,0.02,0.88,0.32,1.0,0.1
sqlpower-library.csv,0.21,0.43,0.13,0.06,0.83,0.38,0.78,0.56,0.49,0.08,0.42,0.83,0.69,0.27,0.77,1.0,0.37,1.0,0.69
triplea.csv,0.45,0.05,0.39,0.71,0.73,0.62,0.33,0.78,0.55,0.58,0.74,0.67,0.69,0.55,0.65,0.0,0.41,1.0,0.67
xamj.csv,0.93,0.67,0.9,0.82,0.83,0.75,0.59,0.67,0.35,0.75,0.58,0.78,0.83,0.73,0.41,1.0,0.28,1.0,0.01
