,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.29,1.0,0.42,0.18,0.25,0.24,0.45,0.39,0.17,0.39,0.12,0.6,0.5,0.59
customwars.csv,0.23,0.9,0.17,0.29,0.0,0.13,0.6,0.76,1.0,0.36,0.0,0.59,0.72,0.78
firebreath.csv,0.28,0.83,0.35,0.23,0.31,0.25,1.0,0.42,0.2,0.44,0.11,0.6,0.55,0.58
gss.csv,0.31,0.72,0.4,0.16,0.24,0.24,0.44,0.36,0.16,0.39,0.09,0.63,0.48,1.0
irplus.csv,0.37,0.81,0.46,0.09,0.28,0.29,0.43,0.36,0.18,1.0,0.18,0.59,0.56,0.62
kwave.csv,0.4,0.86,0.43,0.31,0.26,0.94,0.53,0.41,0.24,0.54,0.13,0.67,0.87,1.0
liferea.csv,0.32,0.92,0.46,0.27,1.0,0.3,0.47,0.56,0.2,0.57,0.21,0.54,1.0,0.63
plearn.csv,1.0,0.71,0.24,0.2,0.13,0.23,0.44,0.31,0.1,0.33,0.15,0.64,0.43,0.67
psrchive.csv,0.6,0.75,0.14,1.0,0.08,0.5,0.43,0.33,0.15,0.11,0.14,0.7,0.29,0.5
qcad2.csv,0.3,0.76,0.45,0.14,0.2,0.32,0.6,0.96,0.26,0.39,0.11,0.58,0.46,0.62
tzod.csv,0.35,0.78,1.0,0.38,0.35,0.25,0.53,0.5,0.2,0.55,0.19,0.6,0.71,0.82
wxcode.csv,0.5,1.0,1.0,0.33,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0
xinity.csv,0.32,0.81,0.37,0.16,0.24,0.17,0.5,0.57,0.14,0.35,0.06,1.0,0.58,0.48
xmoto.csv,0.33,0.75,0.49,0.24,0.25,0.27,0.49,0.41,0.15,0.43,0.12,0.63,1.0,0.68
