,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.48,0.99,0.65,0.61,0.6,0.48,0.65,0.65,0.54,0.57,0.71,0.29,0.57,0.53
customwars.csv,0.1,0.27,0.05,0.17,0.0,0.22,0.18,0.32,0.95,0.19,0.0,0.36,0.41,0.27
firebreath.csv,0.54,0.6,0.53,0.53,0.61,0.51,0.93,0.56,0.66,0.62,0.65,0.5,0.59,0.51
gss.csv,0.51,0.41,0.53,0.3,0.27,0.58,0.66,0.53,0.55,0.6,0.56,0.46,0.5,0.98
irplus.csv,0.57,0.56,0.66,0.24,0.63,0.57,0.53,0.54,0.6,1.0,0.6,0.51,0.57,0.37
kwave.csv,0.45,0.43,0.26,0.6,0.63,0.95,0.42,0.42,0.56,0.32,0.33,0.43,0.41,0.2
liferea.csv,0.33,0.33,0.48,0.47,0.93,0.23,0.16,0.25,0.59,0.56,0.48,0.39,0.38,0.43
plearn.csv,0.98,0.41,0.32,0.33,0.18,0.5,0.34,0.22,0.14,0.39,0.77,0.2,0.52,0.65
psrchive.csv,0.12,0.15,0.05,0.82,0.1,0.07,0.12,0.07,0.15,0.05,0.17,0.43,0.07,0.23
qcad2.csv,0.48,0.54,0.54,0.39,0.46,0.53,0.35,0.98,0.69,0.58,0.46,0.5,0.46,0.52
tzod.csv,0.5,0.44,0.97,0.48,0.67,0.35,0.36,0.63,0.54,0.52,0.6,0.54,0.52,0.63
wxcode.csv,0.04,0.01,0.05,0.09,0.1,0.0,0.0,0.02,0.0,0.05,1.0,0.02,0.04,0.04
xinity.csv,0.55,0.48,0.4,0.45,0.35,0.28,0.41,0.56,0.5,0.5,0.32,0.98,0.46,0.39
xmoto.csv,0.63,0.58,0.63,0.74,0.45,0.42,0.51,0.66,0.54,0.61,0.67,0.56,0.98,0.52
