,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.43,0.99,0.57,0.29,0.38,0.38,0.58,0.53,0.28,0.53,0.21,0.71,0.54,0.66
customwars.csv,0.12,0.37,0.06,0.19,0.0,0.15,0.24,0.4,0.97,0.22,0.0,0.41,0.48,0.36
firebreath.csv,0.39,0.68,0.46,0.32,0.41,0.33,0.96,0.47,0.31,0.52,0.2,0.55,0.57,0.64
gss.csv,0.47,0.78,0.57,0.27,0.39,0.37,0.57,0.52,0.27,0.51,0.15,0.75,0.63,0.98
irplus.csv,0.45,0.65,0.56,0.13,0.4,0.38,0.47,0.43,0.28,1.0,0.28,0.56,0.56,0.43
kwave.csv,0.4,0.53,0.29,0.4,0.39,0.94,0.45,0.39,0.33,0.37,0.18,0.49,0.51,0.29
liferea.csv,0.3,0.43,0.45,0.33,0.96,0.23,0.21,0.3,0.29,0.54,0.29,0.43,0.5,0.49
plearn.csv,0.99,0.5,0.26,0.24,0.14,0.31,0.36,0.23,0.11,0.35,0.25,0.27,0.48,0.7
psrchive.csv,0.17,0.2,0.06,0.88,0.08,0.11,0.16,0.11,0.13,0.06,0.14,0.5,0.09,0.29
qcad2.csv,0.36,0.62,0.48,0.2,0.32,0.39,0.4,0.97,0.38,0.48,0.17,0.56,0.45,0.57
tzod.csv,0.4,0.53,0.98,0.4,0.46,0.28,0.4,0.56,0.29,0.51,0.29,0.62,0.57,0.69
wxcode.csv,0.06,0.03,0.07,0.12,0.14,0.0,0.0,0.04,0.0,0.07,1.0,0.05,0.05,0.06
xinity.csv,0.41,0.57,0.37,0.24,0.27,0.2,0.42,0.54,0.22,0.42,0.11,0.99,0.48,0.44
xmoto.csv,0.48,0.68,0.55,0.37,0.41,0.32,0.49,0.52,0.24,0.52,0.21,0.61,0.99,0.58
