,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.85,0.83,1.01,0.84,0.71,0.74,0.73,0.77,0.73,0.76,0.71,1.03,1.01,0.88,0.48,0.88,0.36,0.81,1.04
fityk.csv,0.88,0.88,0.12,0.83,0.96,0.61,0.76,0.8,0.78,0.78,0.71,1.16,0.58,0.63,0.83,0.45,0.77,0.64,1.34
ivataopenportal.csv,0.84,0.74,0.52,0.97,0.88,0.39,0.76,0.95,0.85,0.88,0.75,1.2,1.0,0.82,0.93,0.91,0.54,0.88,0.97
lcfizvtop.csv,0.29,0.69,0.75,0.79,0.77,0.82,0.86,0.83,0.73,0.67,0.28,1.16,0.84,0.69,0.72,0.9,0.62,0.75,0.88
lite.csv,0.95,0.92,0.79,0.75,0.85,0.73,0.94,0.79,0.77,0.79,0.95,1.05,1.0,0.7,0.37,0.79,0.96,0.77,1.0
onotoa.csv,0.52,0.75,0.32,0.73,0.66,0.78,0.7,0.51,1.05,0.81,0.89,0.51,0.62,0.66,0.77,0.61,0.61,0.7,1.13
openwbem.csv,0.68,0.53,0.38,0.62,0.57,0.77,0.81,0.61,0.93,0.88,0.92,0.32,0.65,0.62,0.89,0.55,0.98,0.49,0.92
orc.csv,1.0,0.63,0.5,0.23,0.97,0.72,0.69,0.82,0.64,0.78,0.43,1.02,1.0,0.76,0.59,0.74,0.93,0.87,1.01
plato.csv,0.98,1.0,1.0,0.97,0.95,0.96,0.29,1.0,1.0,0.95,0.94,1.0,1.0,1.0,0.98,0.95,0.94,1.0,1.0
rodin-b-sharp.csv,0.47,0.98,1.12,0.57,0.86,0.88,0.71,0.77,0.77,0.22,0.88,1.16,1.0,0.68,1.0,0.93,0.86,0.87,1.01
ta3d.csv,0.32,0.86,0.93,0.88,0.78,0.79,0.97,0.79,0.97,0.88,0.91,1.0,1.0,0.75,0.88,0.99,0.96,0.59,0.41
tycho.csv,0.94,0.67,1.11,0.71,0.7,0.76,0.75,0.72,0.92,0.91,0.8,0.32,0.31,0.83,0.67,0.7,0.86,0.68,0.43
umber.csv,0.19,0.58,1.03,0.99,0.83,0.65,1.0,0.78,0.74,0.91,0.71,0.86,0.85,0.64,0.69,0.74,0.97,0.89,1.13
vienna-add-in.csv,0.59,0.71,0.69,0.9,0.42,0.78,0.76,0.68,0.85,0.83,1.01,0.54,0.64,0.53,0.76,0.86,0.85,0.86,1.05
wpdev.csv,0.98,0.99,0.0,0.98,0.98,1.0,1.0,0.88,1.0,1.0,1.0,0.81,0.96,1.0,0.95,1.0,0.9,1.0,1.0
xcmetadataservicestoolkit.csv,0.23,0.68,1.0,0.57,0.61,0.78,0.62,0.64,0.71,0.56,0.88,1.0,1.0,0.39,0.84,0.7,0.84,1.0,0.96
yarp0.csv,0.56,0.59,0.66,0.62,0.77,0.7,0.94,0.76,0.44,0.52,0.71,1.25,0.99,0.66,0.53,0.57,0.72,0.77,1.02
