,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.58,0.48,0.43,0.0
neoengine.csv,0.01,0.21,0.23,0.27
omseek.csv,0.05,0.0,0.24,0.12
pcsx2.csv,0.4,0.35,0.01,0.23
