,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.76,0.42,0.58,1.0
neoengine.csv,0.96,0.45,0.51,0.41
omseek.csv,0.15,0.91,0.24,0.1
pcsx2.csv,0.66,0.55,0.99,0.42
