,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,97.5,98.5,1962.0,394.0,176.0,177.0,374.0,4047.0,581.5,193.0,177.0
badtrinitycore.csv,0.0,27.5,877.0,777.0,278.5,89.5,95.5,477.5,93.5,99.0,96.5
boost.csv,97.5,98.5,387.0,492.0,587.5,275.5,1154.5,1545.5,388.0,99.0,195.0
electric-core.csv,97.5,98.5,386.0,393.5,195.5,183.0,2068.5,3259.0,881.0,99.0,195.0
java-gnome.csv,95.5,93.5,1864.5,295.0,147.0,181.0,392.5,5515.5,1079.0,99.0,96.5
miranda-icq.csv,97.5,197.5,1669.5,294.5,2904.0,463.5,569.5,1226.5,782.5,99.0,94.5
ofbiz.csv,97.5,197.5,676.5,294.5,3355.5,559.0,394.0,3263.5,683.5,99.0,96.5
olsrd.csv,97.5,195.5,1378.0,394.0,180.0,276.5,390.0,1057.0,680.0,99.0,177.0
opensim4opencog.csv,97.5,197.5,1073.0,492.5,220.5,648.5,293.0,3366.5,782.5,99.0,96.5
t-2.csv,97.5,197.5,774.0,393.0,881.5,641.5,295.5,160.0,488.5,99.0,195.0
xcf.csv,97.5,96.5,2056.5,394.0,2227.0,171.0,389.5,4759.0,586.5,99.0,96.5
