,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.32,0.4,0.49,0.49,0.58,0.73,0.63,0.9,0.75,0.79,0.88
badtrinitycore.csv,1.0,1.0,0.66,0.28,0.97,1.0,0.98,0.77,0.9,0.91,0.78
boost.csv,0.92,0.41,0.66,0.65,0.59,0.96,0.77,0.73,0.45,0.68,0.66
electric-core.csv,0.79,0.63,0.45,0.53,0.58,0.65,0.64,0.73,0.63,0.86,0.69
java-gnome.csv,0.72,0.74,0.83,0.66,0.71,0.27,0.76,0.78,0.95,0.67,0.65
miranda-icq.csv,0.6,1.0,0.49,0.71,0.83,1.0,0.5,0.62,0.68,0.63,0.74
ofbiz.csv,0.63,0.95,0.86,0.68,0.75,0.97,0.84,0.76,0.72,0.49,0.52
olsrd.csv,0.67,0.29,0.51,0.59,0.53,0.82,0.62,0.63,0.66,0.6,0.73
opensim4opencog.csv,0.71,0.39,0.53,0.58,0.5,0.96,0.62,0.74,0.61,0.68,0.65
t-2.csv,0.65,0.78,0.71,0.65,0.77,1.0,0.86,0.41,0.86,0.52,0.68
xcf.csv,0.83,0.36,0.5,0.49,0.81,0.76,0.57,0.86,0.59,0.62,0.38
