,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.57,0.97,0.31,0.41,0.51,0.41,0.17,0.35
emite.csv,0.44,0.3,0.45,0.35,0.73,0.48,0.18,0.93
irrlicht.csv,0.62,0.4,0.2,0.39,0.99,0.53,0.16,0.54
migen.csv,0.99,0.41,0.23,0.54,0.56,0.42,0.17,0.41
motu.csv,0.39,0.28,0.15,0.96,0.16,0.35,0.04,0.22
openxava.csv,0.56,0.35,1.0,0.22,0.59,0.54,0.12,0.54
truevision.csv,0.67,0.44,0.24,0.37,0.65,0.97,0.21,0.58
zoolib.csv,0.31,0.31,0.26,0.35,0.22,0.19,0.84,0.31
