,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.47,0.76,0.49,0.54,0.68,0.62,0.67,0.7
emite.csv,0.6,0.78,0.92,0.62,0.57,0.45,0.73,0.59
irrlicht.csv,0.39,0.59,0.58,0.39,0.5,0.4,0.51,0.47
migen.csv,0.54,0.49,0.76,0.46,0.77,0.63,0.89,0.71
motu.csv,0.55,0.87,0.59,0.83,0.95,0.68,0.96,0.93
openxava.csv,0.35,0.46,0.94,0.5,0.5,0.44,0.47,0.56
truevision.csv,0.38,0.37,0.47,0.39,0.53,0.58,0.79,0.39
zoolib.csv,0.91,0.94,0.86,0.9,0.97,0.75,0.96,0.88
