,f1
bl-toolkit.csv,0.11
opengs.csv,0.11
patterntesting.csv,0.64
log4net.csv,0.05
gzigzag.csv,0.4
fw4spl.csv,0.24
phet.csv,0.12
gnukeda.csv,0.53
jaxen.csv,0.38
unimrcp.csv,0.39
enlightenment.csv,0.59
tokratan.csv,0.31
opensim4opencog.csv,0.29
rsyslog.csv,0.69
qlc.csv,0.23
lockss.csv,0.28
nicepress.csv,0.36
scenemonitor.csv,0.09
wxlua.csv,0.22
blue-c.csv,0.67
tcl.csv,0.52
etherboot.csv,0.32
pustefix.csv,0.38
haggle.csv,0.46
jmonkeyengine.csv,0.44
officefloor.csv,0.12
fluidium.csv,0.39
aufs.csv,0.56
cuberok.csv,0.52
vienna-add-in.csv,0.39
ivataopenportal.csv,0.47
decidr.csv,0.56
mptvseries.csv,0.59
planeshift.csv,0.57
phonon-vlc-mplayer.csv,0.51
jgnash.csv,0.37
nassp.csv,0.42
toped.csv,0.82
mediate.csv,0.45
arcallians.csv,0.73
emulemorph.csv,0.12
webdriver.csv,0.51
jsr308-langtools.csv,0.71
boost-sandbox.csv,0.55
mvnforum.csv,0.39
plato.csv,0.33
tolven.csv,0.53
grafx2.csv,0.71
voms.csv,0.13
onotoa.csv,0.38
jguard.csv,0.31
yale.csv,0.34
jmol.csv,0.55
mscore.csv,0.49
hydrogen.csv,0.49
qtwin.csv,0.01
sbml.csv,0.69
thrust.csv,0.26
yaprm.csv,0.44
continuum-ide.csv,0.35
gpac.csv,0.54
e-bio-flow.csv,0.42
jbasic.csv,0.39
aztec.csv,0.14
sylpheed-claws.csv,0.57
stuproa-cims.csv,0.33
apertium.csv,0.51
fm-classic.csv,0.25
smarttag.csv,0.22
pamguard.csv,0.58
