,g-score
bl-toolkit.csv,0.07
opengs.csv,0.07
patterntesting.csv,0.58
log4net.csv,0.37
gzigzag.csv,0.54
fw4spl.csv,0.33
phet.csv,0.14
gnukeda.csv,0.46
jaxen.csv,0.95
unimrcp.csv,0.45
enlightenment.csv,0.53
tokratan.csv,0.45
opensim4opencog.csv,0.55
rsyslog.csv,0.69
qlc.csv,0.56
lockss.csv,0.36
nicepress.csv,0.32
scenemonitor.csv,0.06
wxlua.csv,0.15
blue-c.csv,0.58
tcl.csv,0.48
etherboot.csv,0.4
pustefix.csv,0.35
haggle.csv,0.39
jmonkeyengine.csv,0.63
officefloor.csv,0.67
fluidium.csv,0.33
aufs.csv,0.72
cuberok.csv,0.53
vienna-add-in.csv,0.31
ivataopenportal.csv,0.44
decidr.csv,0.53
mptvseries.csv,0.57
planeshift.csv,0.47
phonon-vlc-mplayer.csv,0.44
jgnash.csv,0.56
nassp.csv,0.69
toped.csv,0.7
mediate.csv,0.37
arcallians.csv,0.71
emulemorph.csv,0.52
webdriver.csv,0.43
jsr308-langtools.csv,0.64
boost-sandbox.csv,0.45
mvnforum.csv,0.43
plato.csv,0.24
tolven.csv,0.6
grafx2.csv,0.66
voms.csv,0.13
onotoa.csv,0.28
jguard.csv,0.24
yale.csv,0.42
jmol.csv,0.45
mscore.csv,0.39
hydrogen.csv,0.66
qtwin.csv,0.91
sbml.csv,0.61
thrust.csv,0.28
yaprm.csv,0.42
continuum-ide.csv,0.39
gpac.csv,0.51
e-bio-flow.csv,0.38
jbasic.csv,0.31
aztec.csv,0.33
sylpheed-claws.csv,0.54
stuproa-cims.csv,0.39
apertium.csv,0.68
fm-classic.csv,0.93
smarttag.csv,0.17
pamguard.csv,0.49
