,pci_20
bl-toolkit.csv,0.75
opengs.csv,0.67
patterntesting.csv,0.55
log4net.csv,0.51
gzigzag.csv,0.5
fw4spl.csv,0.88
phet.csv,0.74
gnukeda.csv,0.43
jaxen.csv,0.67
unimrcp.csv,0.59
enlightenment.csv,0.49
tokratan.csv,0.75
opensim4opencog.csv,0.47
rsyslog.csv,0.5
qlc.csv,0.46
lockss.csv,0.57
nicepress.csv,0.79
scenemonitor.csv,0.5
wxlua.csv,0.91
blue-c.csv,0.44
tcl.csv,0.52
etherboot.csv,0.54
pustefix.csv,0.71
haggle.csv,0.54
jmonkeyengine.csv,0.35
officefloor.csv,0.51
fluidium.csv,0.6
aufs.csv,0.42
cuberok.csv,0.5
vienna-add-in.csv,0.66
ivataopenportal.csv,0.57
decidr.csv,0.44
mptvseries.csv,0.47
planeshift.csv,0.49
phonon-vlc-mplayer.csv,0.97
jgnash.csv,0.59
nassp.csv,0.39
toped.csv,0.33
mediate.csv,0.53
arcallians.csv,0.49
emulemorph.csv,0.42
webdriver.csv,0.73
jsr308-langtools.csv,0.38
boost-sandbox.csv,0.41
mvnforum.csv,0.56
plato.csv,0.58
tolven.csv,0.52
grafx2.csv,0.36
voms.csv,0.83
onotoa.csv,0.67
jguard.csv,0.89
yale.csv,0.74
jmol.csv,0.48
mscore.csv,0.54
hydrogen.csv,0.48
qtwin.csv,0.55
sbml.csv,0.42
thrust.csv,0.71
yaprm.csv,0.5
continuum-ide.csv,0.47
gpac.csv,0.48
e-bio-flow.csv,0.67
jbasic.csv,0.52
aztec.csv,0.63
sylpheed-claws.csv,0.51
stuproa-cims.csv,0.64
apertium.csv,0.46
fm-classic.csv,0.67
smarttag.csv,0.75
pamguard.csv,0.33
