,precision
bl-toolkit.csv,0.75
opengs.csv,1.0
patterntesting.csv,0.8
log4net.csv,0.02
gzigzag.csv,0.33
fw4spl.csv,0.2
phet.csv,0.13
gnukeda.csv,0.76
jaxen.csv,0.24
unimrcp.csv,0.38
enlightenment.csv,0.76
tokratan.csv,0.25
opensim4opencog.csv,0.2
rsyslog.csv,0.69
qlc.csv,0.14
lockss.csv,0.25
nicepress.csv,0.53
scenemonitor.csv,0.5
wxlua.csv,1.0
blue-c.csv,0.89
tcl.csv,0.63
etherboot.csv,0.29
pustefix.csv,0.5
haggle.csv,0.67
jmonkeyengine.csv,0.32
officefloor.csv,0.06
fluidium.csv,0.6
aufs.csv,0.42
cuberok.csv,0.55
vienna-add-in.csv,0.76
ivataopenportal.csv,0.56
decidr.csv,0.58
mptvseries.csv,0.67
planeshift.csv,0.86
phonon-vlc-mplayer.csv,0.75
jgnash.csv,0.28
nassp.csv,0.29
toped.csv,0.9
mediate.csv,0.68
arcallians.csv,0.76
emulemorph.csv,0.07
webdriver.csv,0.77
jsr308-langtools.csv,0.86
boost-sandbox.csv,0.68
mvnforum.csv,0.39
plato.csv,0.75
tolven.csv,0.5
grafx2.csv,0.82
voms.csv,0.17
onotoa.csv,0.86
jguard.csv,0.67
yale.csv,0.31
jmol.csv,0.91
mscore.csv,0.86
hydrogen.csv,0.4
qtwin.csv,0.01
sbml.csv,0.82
thrust.csv,0.29
yaprm.csv,0.54
continuum-ide.csv,0.35
gpac.csv,0.61
e-bio-flow.csv,0.56
jbasic.csv,0.68
aztec.csv,0.09
sylpheed-claws.csv,0.65
stuproa-cims.csv,0.32
apertium.csv,0.38
fm-classic.csv,0.14
smarttag.csv,0.5
pamguard.csv,0.6
