,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.29,0.28,0.24,0.21,0.1,0.22,0.44,0.47,0.15
gdis.csv,0.92,0.69,0.18,0.17,0.46,0.67,0.6,0.35,0.15
kml.csv,0.33,0.97,0.79,0.27,0.18,0.8,0.88,0.93,0.23
ppcboot.csv,0.83,0.79,0.58,0.3,0.69,0.77,0.67,0.84,0.54
repositorium.csv,0.0,0.05,0.11,0.03,0.33,0.28,0.16,0.27,0.15
rsyslog.csv,0.25,0.83,0.39,0.54,0.21,0.86,0.32,0.25,0.31
ultimairis.csv,0.75,0.93,0.56,0.95,1.0,0.03,0.15,0.8,1.0
wow-qrsk.csv,0.0,0.33,0.26,0.15,0.0,0.0,0.03,0.04,0.08
xbg.csv,0.38,0.05,0.04,0.57,0.38,0.03,0.22,0.27,0.31
