,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.71,0.48,0.56,0.98
jajuk.csv,0.97,0.7,0.68,0.85
vapor.csv,0.51,0.04,0.92,0.1
zorannt.csv,0.36,0.87,0.32,0.23
