,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.78,0.94,0.74,0.49,0.92,0.94,0.94,1.01,0.92,1.0
flylegacy.csv,0.67,0.64,0.54,0.71,0.68,0.68,0.8,0.65,0.8,0.63
jguard.csv,0.88,0.7,0.74,0.83,0.78,0.44,0.98,0.86,0.95,0.73
m-a-d-n-e-s-s.csv,0.68,0.97,0.65,0.74,0.92,1.0,1.0,0.82,0.37,0.84
mob-sen-plat.csv,0.82,0.27,0.91,0.79,0.75,0.79,0.66,0.54,0.74,0.65
raygina.csv,0.38,1.0,0.7,0.71,0.8,0.75,0.75,0.77,0.48,0.68
st-filteredstatistics.csv,0.95,0.52,1.0,0.92,0.68,0.65,0.98,0.26,0.92,0.87
upp-mirror.csv,0.69,0.76,0.71,0.54,0.46,0.61,0.7,0.73,0.53,0.78
wishmaster.csv,0.86,0.8,0.76,0.72,0.56,0.93,0.38,0.97,0.53,0.73
yarp.csv,0.73,0.94,0.68,0.92,0.97,0.89,0.9,0.83,0.73,0.54
