,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.6,0.98,0.28,0.38
jlinalg.csv,1.0,0.68,0.27,0.71
qmmp.csv,0.69,0.61,0.32,0.98
yale.csv,0.48,0.55,0.97,0.44
