,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.58,0.83,0.59,0.74,0.37,0.71
aztec.csv,0.54,0.96,0.57,0.65,0.64,0.52
mplayer-ce.csv,0.52,0.45,0.53,0.46,0.35,0.59
qmmp.csv,0.54,0.81,0.48,0.53,0.34,0.35
synergyspace.csv,0.5,0.67,0.96,0.8,0.94,0.99
xtreemfs.csv,0.58,0.97,0.74,0.58,0.34,0.53
