,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.98,0.08,0.2,0.78,0.9,0.5
aztec.csv,0.46,0.96,0.16,0.43,0.87,0.43
mplayer-ce.csv,0.49,0.06,0.21,0.47,0.86,0.98
qmmp.csv,0.7,0.15,0.25,1.0,0.9,0.47
synergyspace.csv,0.0,0.67,1.0,0.4,0.75,0.42
xtreemfs.csv,0.79,0.19,0.21,0.77,1.0,0.53
