,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.69,0.29,0.05,0.5,0.48,0.8,0.47,0.62,0.27,0.87,0.45
aztec.csv,0.83,0.25,0.5,0.44,0.77,0.61,0.41,0.75,1.0,0.96,0.45
bl-toolkit.csv,0.92,0.07,0.04,0.36,0.53,0.5,0.43,0.48,0.22,0.88,0.45
clamav.csv,0.75,0.05,0.05,0.7,0.54,0.66,0.4,0.62,0.25,0.68,0.5
fm-classic.csv,0.67,0.0,0.33,0.0,0.33,0.8,0.83,0.0,1.0,0.82,0.66
kml.csv,0.78,0.1,0.05,0.39,0.82,0.63,0.45,0.55,0.36,0.86,0.45
lufa-lib.csv,0.75,0.18,0.03,0.41,0.53,0.54,0.63,0.69,0.22,0.9,0.43
mplayer-ce.csv,0.8,0.06,0.05,0.67,0.85,0.59,0.48,0.56,0.4,0.9,0.58
qmmp.csv,0.84,0.09,0.09,0.55,0.66,0.55,0.48,0.79,0.5,0.88,0.45
xapian.csv,0.69,0.04,0.04,0.5,0.6,0.67,0.44,0.48,0.48,0.71,0.46
xtreemfs.csv,0.76,0.09,0.07,0.36,0.54,0.57,0.45,0.67,0.29,0.95,0.45
