,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.71,0.64,0.61,0.95,0.04
minig.csv,0.77,0.63,0.0,0.95,0.81
ossbuild.csv,0.91,0.89,0.8,0.09,1.0
rezilla.csv,0.05,0.91,0.91,0.83,0.87
webdriver.csv,0.9,0.05,0.69,0.97,0.73
