,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.0,0.0,92.0,1.0,4.0,0.0,0.0,0.0,1.0,70.0,4.0,6.0,0.0,1.0,3.0,3.0,0.0,0.0
arsenal-1.csv,1.0,0.0,1.0,5.0,4.0,0.0,0.0,8.0,5.0,1.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
atomsite.csv,0.0,0.0,10.0,1.0,0.0,2.0,2.0,1.0,1.0,14.0,7.0,15.0,0.0,6.0,11.0,0.0,1.0,0.0
barracudamvc.csv,5.0,0.0,12.0,1.0,0.0,2.0,0.0,6.0,2.0,25.0,9.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0
bionote.csv,105.0,0.0,10.0,2.0,5.0,2.0,0.0,1.0,2.0,70.0,51.0,100.0,0.0,89.0,0.0,2.0,0.0,0.0
bulmages.csv,0.0,0.0,1.0,0.0,1.0,57.0,0.0,52.0,0.0,70.0,51.0,0.0,1.0,1.0,59.0,116.0,0.0,0.0
fm-classic.csv,105.0,124.0,92.0,55.0,0.0,57.0,64.0,1.0,2.0,0.0,51.0,100.0,1.0,89.0,59.0,1.0,58.0,0.0
hazelcast.csv,0.0,0.0,3.0,0.0,14.0,1.0,0.0,4.0,1.0,27.0,4.0,0.0,0.0,26.0,8.0,0.0,0.0,1.0
jppf-project.csv,0.0,0.0,11.0,1.0,0.0,2.0,0.0,6.0,2.0,28.0,9.0,0.0,0.0,26.0,15.0,0.0,0.0,0.0
megasquirtavr.csv,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,27.0,3.0,0.0,0.0,26.0,9.0,5.0,0.0,0.0
mevenide.csv,0.0,0.0,16.0,0.0,2.0,2.0,1.0,3.0,1.0,70.0,51.0,11.0,0.0,4.0,7.0,0.0,0.0,0.0
mumble.csv,0.0,0.0,92.0,0.0,3.0,0.0,0.0,0.0,0.0,70.0,51.0,100.0,0.0,0.0,5.0,0.0,0.0,1.0
mycila.csv,0.0,0.0,6.0,0.0,5.0,57.0,1.0,3.0,5.0,7.0,0.0,12.0,0.0,2.0,59.0,1.0,0.0,1.0
opengs.csv,0.0,0.0,3.0,0.0,13.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,9.0,10.0,2.0,0.0,1.0
openintents.csv,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,70.0,1.0,6.0,0.0,14.0,10.0,0.0,0.0,0.0
tweetsharp.csv,1.0,0.0,9.0,0.0,6.0,57.0,2.0,5.0,2.0,14.0,1.0,0.0,0.0,9.0,5.0,3.0,0.0,0.0
xharbour.csv,0.0,0.0,10.0,1.0,0.0,2.0,0.0,2.0,1.0,23.0,8.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0
