,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.41,0.49,0.45,0.53,0.66
encog-java.csv,0.57,0.96,0.5,0.97,0.75
h2database.csv,0.58,0.6,0.9,0.4,0.77
jaql.csv,0.38,0.63,0.61,0.47,0.46
raven-monitoring.csv,0.56,0.58,0.61,0.63,0.98
