,id,expected,max_bell,avge,median,bellwether,size
56,2,1,2,1.5,0.55,mclient-mume.csv,2
53,3,4,6,3.14,0.97,jam-daq.csv,7
51,4,11,16,5.94,0.98,sidekar.csv,18
58,5,4,5,3.33,0.745,mule.csv,6
25,6,12,19,7.47,1.0,avisynth2.csv,19
20,7,6,8,5.0,0.77,sblim.csv,9
31,8,8,13,7.31,0.81,jbpm.csv,13
28,10,1,1,1.0,0.25,atunes.csv,1
19,11,2,3,2.25,0.455,emftriple.csv,4
57,13,2,3,2.0,0.55,empyrean.csv,3
59,14,12,19,8.21,0.99,zealos.csv,20
52,15,9,11,7.0,0.8049999999999999,etherboot.csv,14
22,16,6,9,3.89,1.0,jfreereport.csv,9
27,17,12,15,7.0,0.94,crux-framework.csv,20
17,18,2,1,0.67,0.72,qpe.csv,3
29,19,6,10,5.4,0.7,massiv.csv,10
16,20,3,6,4.4,0.645,fm-classic.csv,6
32,21,6,9,4.89,0.88,wow-qrsk.csv,9
30,26,4,6,4.29,0.5,encog-java.csv,7
18,27,7,10,5.09,0.63,retromenu.csv,11
26,28,9,14,6.5,0.9199999999999999,cme.csv,14
21,29,11,18,6.88,0.88,fido.csv,18
37,31,7,11,5.82,0.47,lportal.csv,11
6,32,6,10,5.2,0.7949999999999999,m-a-d-n-e-s-s.csv,10
15,33,12,17,8.3,0.96,omseek.csv,20
14,34,11,15,7.65,0.87,qtwin.csv,17
7,35,11,18,8.89,0.75,reaper-ecad.csv,18
36,36,4,6,3.71,0.66,sepgsql.csv,7
42,37,10,14,5.44,0.935,fluidium.csv,16
35,38,4,6,4.71,0.645,k3d.csv,8
43,39,7,12,4.83,1.0,xined.csv,12
54,40,4,5,3.33,0.565,badtrinitycore.csv,6
49,41,11,16,7.59,1.0,genoviz.csv,17
23,42,5,8,4.88,0.785,projecteqemu.csv,8
34,43,3,4,3.2,0.59,ossbuild.csv,5
33,44,3,5,2.8,0.97,tolven.csv,5
24,45,4,4,3.0,0.74,modellus.csv,7
48,46,7,12,5.17,0.885,nosleepsoftware.csv,12
55,47,9,11,6.8,0.84,factor.csv,15
50,48,4,5,2.86,0.83,ftm.csv,7
3,50,6,11,4.3,0.96,mvdsv.csv,11
10,51,9,13,6.27,0.925,chipster.csv,16
44,52,2,2,1.33,0.72,graphmak.csv,3
41,53,7,12,5.36,1.0,gisgraphy.csv,13
40,54,5,7,3.62,0.87,jicarilla.csv,8
45,55,11,15,7.5,0.925,vrjuggler.csv,18
9,56,9,12,4.14,1.0,rohxel.csv,15
5,57,1,2,1.0,0.73,papertoolkit.csv,2
11,58,2,4,2.5,0.51,nassp.csv,4
1,59,7,9,5.83,0.795,uclmda.csv,12
13,60,4,4,2.67,0.68,mvnforum.csv,6
0,61,6,9,4.2,0.95,arsenal-1.csv,10
39,62,1,1,1.0,0.58,freewrl.csv,2
46,63,1,1,1.0,0.24,jrdf.csv,1
47,64,7,8,4.92,0.98,gwanted.csv,12
38,65,11,17,8.06,1.0,tcvp.csv,17
2,66,6,9,5.2,0.685,adobe-source.csv,10
12,67,10,15,5.25,0.9199999999999999,emisview.csv,16
4,68,7,10,7.0,0.7,pfaedit.csv,12
8,69,6,9,4.78,0.94,gtad.csv,9
