,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
56,2,2,1,2,1,1,0,1,logicmail.csv
53,3,3,5,6,1,4,3,6,chrysalis.csv
51,4,3,3,11,2,3,13,17,beast-mcmc.csv
58,5,3,3,4,2,2,5,5,springside.csv
25,6,4,5,13,5,4,10,18,freelords.csv
20,7,2,4,4,1,3,9,8,dxengine.csv
31,8,2,4,7,4,3,12,12,joustsim.csv
28,10,0,1,1,0,1,1,0,atunes.csv
19,11,1,2,3,1,2,3,3,gpsmid.csv
57,13,2,1,0,2,2,3,2,amanda.csv
59,14,5,5,7,7,10,18,18,cascading.csv
52,15,2,3,5,5,8,9,13,openmeetings.csv
22,16,3,1,6,3,2,9,8,pcsx2.csv
27,17,6,9,16,4,7,17,19,jmule.csv
17,18,1,1,2,1,0,3,2,lmms.csv
29,19,3,6,6,4,6,9,9,fritzing.csv
16,20,1,2,4,1,3,5,4,voms.csv
32,21,1,4,4,3,6,9,8,acegisecurity.csv
30,26,1,4,5,1,2,5,6,galaxium.csv
18,27,2,2,6,2,3,8,10,pydev.csv
26,28,2,5,5,5,7,13,13,projectfactory.csv
21,29,9,7,11,13,10,9,16,botsnscouts.csv
37,31,2,5,7,2,3,6,10,heekscad.csv
6,32,3,2,6,3,3,6,9,mob-sen-plat.csv
15,33,7,7,8,7,14,18,19,img-browse-sort.csv
14,34,6,6,13,5,3,9,16,libarchive.csv
7,35,6,8,9,9,14,10,17,jahshakafx.csv
36,36,4,1,6,4,1,5,6,mcmc-jags.csv
42,37,2,4,6,5,7,5,15,owlib.csv
35,38,1,4,7,1,1,5,6,apolloplayer.csv
43,39,2,7,7,4,8,8,11,applet2app.csv
54,40,2,2,2,2,5,5,5,adaptagrams.csv
49,41,6,6,7,11,10,14,16,delphilhlplib.csv
23,42,2,4,4,3,6,7,7,etics.csv
34,43,1,1,2,0,3,5,4,jparsec.csv
33,44,0,2,1,3,5,5,4,tolven.csv
24,45,2,2,2,4,4,6,6,modellus.csv
48,46,3,2,5,3,4,9,11,popeye-chess.csv
55,47,6,3,11,7,2,12,14,critterding.csv
50,48,2,2,4,3,2,6,6,google-web-toolkit.csv
3,50,2,2,4,4,5,11,9,openwbem.csv
10,51,3,3,14,4,2,10,14,glas.csv
44,52,2,1,2,2,1,3,2,pdfedit.csv
41,53,1,2,9,2,2,8,10,jaxen.csv
40,54,1,1,3,1,2,7,7,optalgtoolkit.csv
45,55,6,5,11,4,3,15,17,xuggle.csv
9,56,4,3,7,5,3,13,13,cleartk.csv
5,57,0,1,1,1,2,2,1,papertoolkit.csv
11,58,0,1,0,0,3,3,3,maidsafe-dht.csv
1,59,3,2,7,3,6,7,11,ldview.csv
13,60,1,1,2,3,3,6,5,chaosrts.csv
0,61,3,4,5,5,2,3,9,irplus.csv
39,62,1,1,2,1,1,0,1,freewrl.csv
46,63,0,1,1,0,1,1,0,jrdf.csv
47,64,5,5,10,5,2,10,11,unicase.csv
38,65,7,1,16,4,1,9,16,grisbi.csv
2,66,2,2,5,1,3,8,9,psrchive.csv
12,67,5,5,5,9,11,11,15,elvishrayrenderer.csv
4,68,1,0,1,3,7,10,10,miranda-icq.csv
8,69,3,2,6,2,2,4,8,kaffeine.csv
