,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.67,0.75,0.42,0.55,0.74,0.5,0.58,0.93,0.3,0.71,0.51,0.25,0.93,0.83,0.64
emulemorph.csv,0.17,0.03,0.11,0.33,0.02,0.0,0.02,0.0,0.0,0.04,0.3,0.0,0.03,0.0,0.11
fceugc.csv,0.36,0.25,0.0,0.49,0.3,0.5,0.08,0.14,0.38,0.54,0.21,0.27,0.65,0.27,0.49
gnukeda.csv,0.22,0.22,0.42,0.66,0.81,0.25,0.83,0.1,0.91,0.67,0.87,0.8,0.73,0.36,0.63
gusanos.csv,0.05,0.28,0.62,0.36,0.12,0.25,0.68,0.21,0.26,0.42,0.09,0.75,0.85,0.14,0.44
micomt.csv,0.5,0.97,0.57,0.74,0.7,1.0,0.17,0.93,0.77,0.83,0.74,0.69,1.0,0.78,0.84
modplug.csv,0.83,0.97,0.53,0.91,0.77,1.0,0.66,0.48,0.79,0.21,0.62,0.85,0.69,0.32,0.74
ogre.csv,0.55,0.25,0.77,0.48,0.74,0.0,0.49,0.38,0.78,0.38,0.85,0.78,0.26,0.68,0.77
openfrag.csv,0.89,0.56,0.19,0.64,0.35,1.0,0.22,0.34,0.48,0.25,0.26,0.35,0.95,0.19,0.49
oscarmcmaster.csv,0.53,0.28,0.2,0.67,0.37,0.0,0.32,0.24,0.13,0.12,0.3,0.33,0.74,0.16,0.37
pidgin.csv,0.33,0.25,0.23,0.15,0.14,1.0,0.58,0.28,0.09,0.04,0.09,0.45,0.52,0.18,0.39
repositorium.csv,0.0,0.34,0.01,0.15,0.56,0.5,0.22,0.72,0.28,0.71,0.98,0.42,0.71,0.65,0.29
unimrcp.csv,0.02,0.12,0.26,0.28,0.21,0.5,0.17,0.31,0.23,0.29,0.15,0.25,0.74,0.24,0.44
xapian.csv,0.62,0.66,0.59,0.75,0.42,1.0,0.05,0.38,0.65,0.33,0.83,0.51,1.0,0.19,0.66
xqilla.csv,0.16,0.19,0.12,0.48,0.42,0.5,0.78,0.1,0.64,0.58,0.26,0.49,0.06,0.53,0.47
