,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.7,0.2,0.61,0.07,0.44,1.0,1.0,0.36,0.88,0.77,0.11,0.68,0.27,0.22,0.09,0.63,0.63
blue-c.csv,0.15,0.63,0.49,1.0,0.56,0.6,0.72,0.57,0.25,0.55,0.57,0.29,0.27,0.61,0.48,0.79,0.54
factor.csv,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.98
fltk.csv,0.4,0.98,0.14,0.27,0.44,0.24,0.28,0.29,0.5,0.35,0.38,0.11,0.09,0.56,0.27,0.47,0.07
free-evolution.csv,0.35,0.47,0.19,0.47,0.67,0.16,0.32,0.43,0.19,0.81,0.4,0.61,0.27,0.69,0.94,0.63,0.29
icescrum.csv,0.35,0.3,0.17,0.37,0.11,0.43,0.44,0.14,0.31,0.39,0.47,0.07,0.09,0.42,0.33,1.0,0.29
jbasic.csv,0.1,0.27,0.1,0.33,0.11,1.0,0.48,0.5,0.12,0.39,0.23,0.18,0.18,0.25,0.15,0.37,0.2
kvs.csv,1.0,0.29,0.19,0.2,0.11,0.11,0.12,0.07,0.12,0.65,0.38,0.18,0.27,0.72,0.21,0.53,0.27
monetdb.csv,0.25,0.57,0.38,0.23,0.56,0.33,0.24,0.5,0.94,0.61,0.96,0.61,0.55,0.83,0.52,0.79,0.51
phet.csv,0.4,0.21,0.96,0.37,0.33,0.19,0.12,0.14,0.25,0.03,0.11,0.57,0.09,0.17,0.39,0.11,0.59
projecteqemu.csv,0.1,0.36,0.0,0.03,0.0,0.44,0.16,0.43,0.06,0.26,0.36,0.0,0.0,1.0,0.12,0.21,0.2
repositorium.csv,0.05,0.24,0.48,0.1,0.33,0.22,0.56,0.57,0.81,0.16,0.15,0.54,0.73,0.19,0.12,0.74,0.54
smarttag.csv,0.05,0.21,0.17,0.13,0.56,0.14,0.08,1.0,0.12,0.03,0.09,0.11,0.09,0.08,0.09,0.79,0.05
sumatrapdf.csv,0.45,0.73,0.33,0.43,0.56,0.44,0.68,0.86,0.5,0.9,0.7,0.57,0.36,0.83,0.73,0.95,0.61
voms.csv,0.0,0.01,0.0,0.03,1.0,0.05,0.04,0.0,0.0,0.13,0.11,0.11,0.0,0.17,0.0,0.05,0.02
vrjuggler.csv,0.3,0.53,0.17,0.43,0.33,0.29,0.16,0.36,0.88,0.0,0.6,0.18,0.27,0.17,0.48,0.58,0.95
wheat.csv,0.2,0.27,0.19,0.13,0.22,0.0,0.2,0.36,0.44,0.32,0.47,0.96,0.09,0.61,0.45,0.26,0.1
