,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.44,0.49,0.21,0.5,0.12,0.64,1.0,0.28,0.25,0.32,0.24,0.53,0.12,0.38,0.17,0.41,0.68
blue-c.csv,0.08,0.62,0.2,1.0,0.15,0.62,0.32,0.21,0.15,0.61,0.38,0.53,0.07,0.44,0.36,0.44,0.71
factor.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.98
fltk.csv,0.31,1.0,0.22,0.8,0.25,0.6,0.28,0.27,0.27,0.65,0.44,0.6,0.06,0.69,0.39,0.6,0.38
free-evolution.csv,0.41,0.57,0.12,0.54,0.22,0.62,0.2,0.25,0.12,0.39,0.48,0.61,0.11,0.42,1.0,0.4,0.67
icescrum.csv,0.35,0.61,0.14,0.85,0.14,0.66,0.5,0.33,0.2,0.57,0.43,0.67,0.06,0.56,0.37,0.95,0.75
jbasic.csv,0.17,0.67,0.11,0.83,0.33,1.0,0.57,0.24,0.22,0.6,0.34,0.62,0.4,0.47,0.42,0.58,0.73
kvs.csv,1.0,0.68,0.15,0.3,0.33,0.58,0.25,0.25,0.25,0.53,0.49,0.56,0.15,0.55,0.44,0.48,0.69
monetdb.csv,0.19,0.55,0.19,0.39,0.24,0.68,0.15,0.27,0.23,0.45,1.0,0.68,0.11,0.48,0.29,0.54,0.68
phet.csv,0.25,0.46,0.99,0.39,0.18,0.27,0.23,0.18,0.13,0.06,0.12,0.52,0.02,0.26,0.17,0.25,0.65
projecteqemu.csv,0.5,0.72,0.0,1.0,0.0,0.68,0.19,0.46,0.09,0.89,0.63,0.0,0.0,1.0,0.36,0.8,0.89
repositorium.csv,0.11,0.58,0.2,0.5,0.23,0.54,0.26,0.31,0.22,0.23,0.39,0.48,1.0,0.44,0.19,0.36,0.61
smarttag.csv,0.25,0.81,0.23,1.0,0.19,0.64,0.11,1.0,1.0,0.25,0.44,0.38,0.2,0.43,0.25,0.5,0.29
sumatrapdf.csv,0.25,0.61,0.15,0.93,0.17,0.6,0.31,0.29,0.16,1.0,0.48,0.59,0.12,0.48,0.25,0.38,0.78
voms.csv,0.0,0.5,0.0,0.5,1.0,1.0,0.33,0.0,0.0,1.0,0.71,0.5,0.0,0.43,0.0,0.25,0.5
vrjuggler.csv,0.14,0.6,0.14,0.48,0.14,0.39,0.15,0.36,1.0,0.0,0.37,0.56,0.18,0.32,0.22,0.48,0.7
wheat.csv,0.4,0.51,0.28,0.27,0.11,0.0,0.21,0.29,0.16,0.43,0.63,1.0,0.03,0.56,0.26,0.45,0.44
