,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.53,0.8,0.42,0.75,0.58,0.43,0.72,0.56,0.36,0.34,0.95,0.36,0.64,0.76,0.94,0.31,0.5
blue-c.csv,0.62,0.51,0.49,0.47,0.76,0.52,0.46,0.46,0.65,0.71,0.51,0.67,0.54,0.5,0.56,0.41,0.52
factor.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.51
fltk.csv,0.77,0.54,0.98,0.8,0.94,0.68,0.76,0.73,0.73,0.88,0.68,0.8,0.94,0.59,0.91,0.67,0.88
free-evolution.csv,0.94,0.62,0.59,0.65,0.67,0.81,0.65,0.5,0.83,0.39,0.7,0.57,0.89,0.52,0.84,0.47,0.83
icescrum.csv,0.7,0.58,0.57,0.54,0.86,0.51,0.59,0.83,0.48,0.62,0.49,0.67,0.72,0.48,0.6,0.55,0.56
jbasic.csv,0.92,0.76,0.87,0.58,0.67,0.59,0.9,0.48,0.89,0.8,0.72,0.88,0.8,0.68,0.92,0.67,0.82
kvs.csv,0.8,0.67,0.58,0.8,0.67,0.92,0.92,0.75,0.88,0.58,0.7,0.89,0.9,0.55,0.94,0.52,0.75
monetdb.csv,0.85,0.56,0.53,0.89,0.9,0.52,0.62,0.5,0.42,0.55,0.58,0.6,0.55,0.48,0.71,0.46,0.68
phet.csv,0.78,0.93,0.99,0.79,0.94,0.98,0.92,0.91,0.74,0.94,0.98,0.52,0.67,0.96,0.65,0.88,0.65
projecteqemu.csv,0.75,0.79,0.97,0.0,0.0,0.56,0.76,0.69,0.91,0.89,0.81,0.0,0.0,0.58,0.91,0.8,0.89
repositorium.csv,0.89,0.81,0.4,0.83,0.69,0.58,0.43,0.46,0.41,0.86,0.94,0.45,0.88,0.94,0.95,0.33,0.58
smarttag.csv,0.75,0.94,0.92,0.75,0.52,0.93,0.83,0.79,0.5,0.75,0.89,0.88,0.8,0.86,0.92,0.43,0.86
sumatrapdf.csv,0.58,0.5,0.42,0.57,0.57,0.47,0.49,0.4,0.52,0.64,0.45,0.52,0.65,0.47,0.58,0.32,0.47
voms.csv,0.0,0.75,0.67,0.5,0.89,0.67,0.67,0.0,0.67,0.75,0.86,0.83,0.75,0.93,0.0,0.75,0.5
vrjuggler.csv,0.71,0.61,0.72,0.67,0.73,0.87,0.85,0.71,0.93,0.94,0.59,0.89,0.94,0.95,0.62,0.57,0.46
wheat.csv,0.9,0.71,0.98,0.93,0.72,0.0,0.75,0.53,0.48,0.83,0.63,0.48,0.6,0.51,0.63,0.91,0.89
