,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.06,0.18,0.49,0.55,0.15,0.14,0.24,0.42,0.6,0.19,0.39,0.26,0.71,0.25,0.13,0.72,0.51
blogentis.csv,0.03,0.22,0.76,0.44,0.79,0.08,0.6,0.47,0.52,0.29,0.35,0.24,0.38,0.46,0.28,0.71,0.37
bochs.csv,0.02,0.17,0.89,0.58,0.85,0.17,0.42,0.38,0.68,0.34,0.49,0.46,0.48,0.49,0.35,0.82,0.59
galaxium.csv,0.01,0.26,0.5,0.46,0.44,0.3,0.38,0.42,0.43,0.33,0.54,0.52,0.52,0.71,0.64,0.42,0.41
gisgraphy.csv,0.0,0.23,0.58,0.47,0.48,0.22,0.45,0.45,0.4,0.12,0.29,0.19,0.33,0.36,0.1,0.68,0.67
haphazard.csv,0.02,0.19,0.69,0.5,0.81,0.12,0.32,0.39,0.3,0.38,0.11,0.39,0.32,0.26,0.3,0.39,0.36
ipfire-wall.csv,0.04,0.0,0.52,0.42,0.37,0.06,0.41,0.29,0.39,0.29,0.74,0.46,0.46,0.2,0.41,0.58,0.26
jmri.csv,0.14,0.18,0.4,0.62,0.31,0.16,0.4,0.42,0.43,0.26,0.47,0.39,0.37,0.25,0.19,0.64,0.54
jvcl.csv,0.57,0.33,0.37,0.54,0.34,0.07,0.42,0.34,0.5,0.13,0.42,0.41,0.46,0.18,0.43,0.54,0.29
kaffeine.csv,0.01,0.19,0.85,0.59,0.92,0.17,0.43,0.47,0.52,0.35,0.51,0.47,0.42,0.59,0.58,0.78,0.46
m-a-d-n-e-s-s.csv,0.02,0.18,0.13,0.33,0.19,0.18,0.44,0.31,0.14,0.29,0.44,0.68,0.4,0.31,0.55,0.24,0.13
magicwars.csv,0.02,0.2,0.93,0.64,0.9,0.13,0.4,0.72,0.59,0.34,0.49,0.45,0.58,0.46,0.56,0.85,0.43
nh3d.csv,0.8,0.0,0.93,0.41,0.9,0.12,0.41,0.47,0.6,0.33,0.49,0.46,0.58,0.45,0.38,0.85,0.48
opentibia.csv,0.03,0.07,0.88,0.47,0.49,0.17,0.33,0.44,0.38,0.36,0.48,0.15,0.38,0.35,0.18,0.73,0.5
sarasvati.csv,0.02,0.09,0.59,0.4,0.28,0.24,0.25,0.42,0.41,0.27,0.51,0.45,0.39,0.55,0.54,0.45,0.4
smartgwt.csv,0.0,0.23,0.62,0.5,0.76,0.09,0.36,0.32,0.48,0.29,0.52,0.49,0.45,0.34,0.59,0.79,0.46
tweetsharp.csv,0.22,0.21,0.69,0.55,0.41,0.13,0.23,0.42,0.56,0.2,0.33,0.35,0.51,0.32,0.13,0.84,0.51
