,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.0,0.24,0.26,0.5,0.0,0.23,0.33,0.42,0.38,0.18,0.44,0.5,0.56,0.84,0.42,0.05,0.16,0.43,0.51,0.02
alpine.csv,0.63,0.73,0.71,0.66,1.0,0.58,0.56,0.38,1.0,0.92,0.24,0.67,0.56,1.0,0.88,1.0,0.09,0.64,0.98,1.0
enzo.csv,1.0,0.78,0.76,0.92,1.0,0.88,1.0,0.98,0.62,0.82,0.91,0.92,1.0,0.76,0.99,0.74,0.84,1.0,0.96,0.86
flylinkdc.csv,0.93,0.7,0.76,0.79,0.89,0.88,0.78,0.62,0.41,0.97,0.59,0.83,0.44,0.8,0.63,0.83,0.68,1.0,0.57,0.76
fw4spl.csv,0.32,0.54,0.29,0.37,0.34,0.38,0.33,0.54,0.31,0.34,0.59,0.5,0.67,0.24,0.25,0.67,0.48,0.43,0.38,0.59
grisbi.csv,0.85,0.89,0.86,0.92,1.0,0.79,1.0,0.94,0.91,0.95,0.86,0.92,0.78,1.0,0.63,0.88,0.92,1.0,0.87,0.84
jcae.csv,0.0,0.3,0.33,0.16,0.02,0.25,0.89,0.46,0.0,0.34,0.2,0.25,0.22,0.08,0.15,0.31,0.01,0.29,0.23,0.02
jcl.csv,0.76,0.32,0.55,0.68,0.86,0.56,0.33,0.65,0.19,0.32,0.21,0.33,0.89,0.24,0.65,0.07,0.29,0.57,0.4,0.51
libarchive.csv,0.66,0.65,0.52,0.97,0.57,0.92,0.89,1.0,0.38,0.97,0.86,0.92,0.56,0.8,0.58,0.83,0.59,1.0,0.87,0.65
mimosa.csv,0.98,0.65,0.69,0.87,0.95,0.94,0.56,0.9,0.88,0.82,0.36,0.67,1.0,0.28,0.93,0.69,0.48,0.71,0.64,0.84
n2cms.csv,0.85,0.89,0.64,0.74,0.66,0.6,1.0,0.31,0.72,0.42,0.88,0.83,0.33,0.4,0.32,0.79,0.78,1.0,0.64,0.9
nabu-library.csv,0.98,0.73,0.24,0.53,0.31,0.38,0.33,0.4,0.5,0.24,0.21,0.83,0.33,0.12,0.88,0.62,0.62,0.57,0.49,0.18
net-snmp.csv,0.73,0.89,0.71,0.45,0.95,0.67,0.78,0.88,0.44,0.61,0.89,0.67,0.56,0.64,0.33,0.76,0.29,0.21,0.55,0.61
ossbuild.csv,0.54,0.43,0.55,0.71,0.19,0.67,0.44,0.35,0.81,0.39,0.08,0.25,0.33,0.56,0.34,0.4,0.15,0.36,0.23,0.43
quickfast.csv,1.0,0.68,0.64,0.95,0.7,0.81,1.0,0.98,0.56,0.63,0.82,0.83,0.89,0.44,0.67,0.55,0.99,1.0,0.81,0.86
tcvp.csv,0.0,0.03,0.05,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.78,0.08,0.72,0.02,0.0,0.0,0.13,0.0
vdsf.csv,0.83,0.7,0.88,0.84,0.35,0.79,0.44,0.17,0.94,0.76,1.0,1.0,0.56,0.76,0.43,0.71,0.98,0.43,0.77,0.92
virtuoso.csv,1.0,0.84,0.62,0.95,0.06,0.92,1.0,0.77,0.03,0.79,1.0,1.0,1.0,0.36,0.97,0.5,1.0,0.93,0.19,0.16
xbrlapi.csv,0.05,0.22,0.74,0.05,0.0,0.46,0.33,0.27,0.03,0.61,0.5,0.25,0.0,0.08,0.2,0.0,0.09,0.14,0.15,0.0
yarp.csv,0.27,0.14,0.33,0.34,0.0,0.52,0.22,0.19,0.0,0.29,0.0,0.25,0.0,0.56,0.62,0.0,0.79,0.29,0.15,0.0
