,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.4,0.4,0.69,0.99,0.51,0.12,0.29,0.9,0.74,0.5,0.48,0.57
gmerlin.csv,0.43,0.43,0.6,0.71,0.69,0.06,1.0,0.84,0.74,0.39,0.5,0.69
google-gears.csv,0.35,0.23,0.49,0.65,0.53,0.04,0.38,0.98,0.6,0.34,0.45,0.56
gstreamer.csv,0.36,0.3,0.64,0.66,0.48,0.06,0.44,0.86,0.98,0.36,0.46,0.65
lportal.csv,0.29,0.09,0.33,0.55,0.32,1.0,0.39,0.66,0.4,0.32,0.71,0.33
metacosm.csv,0.39,0.31,0.58,0.59,0.68,0.07,0.37,0.79,0.8,0.38,0.56,1.0
mplayer-ce.csv,0.3,0.11,0.47,0.62,0.4,0.04,0.3,0.76,0.57,0.36,0.99,0.39
openmeetings.csv,0.42,1.0,0.74,0.78,0.74,0.1,0.41,0.94,0.82,0.53,0.49,0.68
qgis.csv,0.41,0.55,0.98,0.67,0.54,0.08,0.27,0.87,0.59,0.39,0.49,0.72
skia.csv,0.36,0.29,0.63,0.75,0.48,0.05,0.41,0.78,0.64,0.96,0.52,0.71
wxcrp.csv,1.0,0.28,0.71,0.71,0.56,0.05,0.4,0.86,0.87,0.48,0.46,0.67
yafdotnet.csv,0.35,0.21,0.55,0.66,1.0,0.07,0.28,0.85,0.62,0.19,0.45,0.62
