,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.39,0.55,0.29,0.99,0.62,0.66,0.19,0.22,0.51,0.3,0.77,0.44
gmerlin.csv,0.39,0.59,0.3,0.32,0.42,0.64,0.88,0.26,0.24,0.3,0.43,0.41
google-gears.csv,0.94,0.68,0.85,0.87,0.45,0.31,0.94,1.0,0.88,0.87,0.79,0.74
gstreamer.csv,0.71,0.73,0.63,0.49,0.65,0.82,0.62,0.47,0.98,0.43,0.66,0.56
lportal.csv,0.48,0.27,0.31,0.44,0.14,0.88,0.59,0.34,0.36,0.52,0.04,0.19
metacosm.csv,0.77,0.45,0.65,0.26,0.2,0.7,0.56,0.62,0.14,0.65,0.11,0.93
mplayer-ce.csv,0.87,0.77,0.81,0.81,0.78,0.8,0.75,0.84,0.88,0.91,0.96,0.59
openmeetings.csv,0.35,0.91,0.44,0.32,0.36,0.57,0.22,0.29,0.52,0.39,0.62,0.48
qgis.csv,0.42,0.5,0.99,0.52,0.39,0.73,0.22,0.39,0.63,0.52,0.66,0.67
skia.csv,0.26,0.5,0.32,0.18,0.31,0.39,0.22,0.24,0.04,1.0,0.14,0.19
wxcrp.csv,0.94,0.68,0.29,0.45,0.63,0.88,0.12,0.16,0.24,0.43,0.47,0.3
yafdotnet.csv,0.71,0.45,0.56,0.71,0.98,0.54,0.53,0.49,0.75,0.13,0.44,0.56
