,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.66,0.47,0.73,0.02,0.57,0.4,0.84,0.78,0.55,0.71,0.73,0.63
gmerlin.csv,0.65,0.43,0.73,0.71,0.59,0.57,0.12,0.75,0.77,0.74,0.67,0.61
google-gears.csv,0.72,0.5,0.86,0.81,0.62,0.75,0.75,0.05,0.8,0.86,0.82,0.58
gstreamer.csv,0.6,0.39,0.5,0.67,0.61,0.55,0.53,0.58,0.03,0.69,0.72,0.51
lportal.csv,0.71,0.87,0.92,0.81,0.89,0.12,0.61,0.87,0.97,0.72,0.96,0.88
metacosm.csv,0.55,0.57,0.57,0.8,0.8,0.51,0.64,0.64,0.86,0.65,0.89,0.07
mplayer-ce.csv,0.86,1.0,0.91,0.87,0.88,0.92,0.87,0.85,0.92,0.83,0.04,0.9
openmeetings.csv,0.68,0.09,0.58,0.7,0.65,0.49,0.8,0.71,0.5,0.63,0.66,0.55
qgis.csv,0.63,0.5,0.03,0.65,0.65,0.46,0.83,0.64,0.7,0.63,0.66,0.4
skia.csv,0.77,0.54,0.7,0.82,0.73,0.69,0.8,0.79,0.97,0.02,0.87,0.82
wxcrp.csv,0.06,0.43,0.72,0.63,0.52,0.69,0.88,0.84,0.76,0.61,0.7,0.72
yafdotnet.csv,0.62,0.61,0.62,0.68,0.02,0.56,0.81,0.58,0.68,0.91,0.71,0.53
