,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.29,0.81,0.73,0.87,0.97,0.84,0.54,0.71,0.62,0.78,0.96,0.56,0.53,0.92,0.61,1.0
customsagetv.csv,0.57,0.96,0.8,0.84,0.86,0.79,0.84,0.92,0.77,0.59,0.15,0.9,0.48,0.89,0.44,0.95
glas.csv,0.63,0.91,0.76,0.68,0.74,0.5,0.55,0.73,0.82,0.51,0.89,0.84,0.41,0.45,0.49,0.78
intact.csv,0.48,0.64,0.75,0.35,0.77,0.71,0.64,0.66,0.54,0.93,0.7,0.77,0.53,0.87,0.41,0.83
japano.csv,0.74,0.9,0.73,0.81,1.0,0.32,0.93,0.85,0.96,0.99,0.93,0.9,0.58,0.85,0.74,0.96
jas.csv,0.65,0.96,0.77,0.72,0.85,0.81,0.82,0.73,0.86,0.91,0.56,0.7,0.42,0.87,0.18,0.85
lazarus-ccr.csv,1.02,0.38,0.65,0.88,0.67,0.86,0.71,0.97,0.59,0.82,0.85,0.74,0.9,0.92,0.91,0.52
officefloor.csv,0.72,0.59,0.72,0.6,0.97,0.82,0.77,0.61,0.45,0.47,0.93,0.95,0.88,0.85,1.0,0.95
primefaces.csv,1.0,1.0,1.0,0.94,0.76,0.79,0.97,1.0,0.91,1.0,0.76,0.93,1.0,1.0,0.82,0.35
pustefix.csv,0.75,0.92,0.81,0.64,0.69,0.87,0.75,0.42,0.87,1.0,0.58,0.55,0.59,0.75,1.0,0.88
red5.csv,1.0,0.73,0.74,0.93,0.91,0.81,0.46,0.96,0.61,1.0,1.04,1.03,0.92,0.6,0.84,0.85
redshell.csv,0.94,0.79,0.43,0.68,0.7,0.86,0.79,0.87,0.86,0.98,0.66,0.79,0.73,0.86,0.7,0.73
rohxel.csv,0.54,1.0,0.84,0.76,0.43,0.55,0.88,0.97,0.68,0.91,0.69,0.65,0.89,0.71,0.88,0.73
roolo.csv,0.86,0.94,0.57,0.85,0.83,0.76,0.9,0.91,0.95,0.57,0.7,0.37,0.76,0.66,0.95,0.86
toped.csv,0.89,0.69,0.77,0.76,0.92,1.0,0.91,0.97,0.9,0.18,0.81,0.85,0.99,0.92,0.94,0.89
xreal.csv,0.79,0.79,0.78,0.64,0.83,0.65,0.79,0.94,0.95,0.99,0.62,0.75,0.02,0.82,0.53,0.83
