,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.43,0.47,0.3,0.44,0.33,0.44,0.17,0.07,0.96,0.47
chaosrts.csv,0.0,0.72,0.09,0.0,0.0,0.55,0.0,0.09,0.0,0.99
lazarus-ccr.csv,0.47,0.97,0.0,0.42,0.17,0.3,0.06,0.0,0.34,0.48
linuxsh.csv,0.64,0.29,0.93,0.32,0.49,0.36,0.06,0.07,0.11,0.3
migen.csv,0.62,0.49,0.21,0.57,0.55,1.0,0.28,0.0,0.27,0.43
moviesandbox.csv,0.71,0.33,0.11,0.34,0.94,0.45,0.06,0.14,0.19,0.22
sauerbraten.csv,0.98,0.37,0.2,0.32,0.56,0.48,0.37,0.42,0.36,0.17
scite-ru.csv,0.65,0.38,0.11,0.5,0.19,0.59,0.88,0.14,0.29,0.58
vrjuggler.csv,0.16,0.2,0.21,0.3,0.11,0.46,0.39,0.9,0.29,0.39
xuggle.csv,0.12,0.44,0.63,0.83,0.24,0.36,0.37,0.0,0.26,0.28
