,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.57,0.41,0.1,0.12,0.46,0.45,0.3,0.04,1.0,0.88
chaosrts.csv,0.62,0.56,0.17,0.11,0.56,0.47,0.29,0.22,0.61,1.0
lazarus-ccr.csv,0.6,1.0,0.0,0.08,0.67,0.45,0.12,0.0,0.76,0.9
linuxsh.csv,0.77,0.46,1.0,0.27,0.74,0.58,0.5,0.12,0.38,0.95
migen.csv,0.82,0.55,0.4,0.35,0.72,1.0,0.33,0.0,0.69,0.89
moviesandbox.csv,0.78,0.5,0.25,0.21,1.0,0.64,0.5,0.17,0.5,1.0
sauerbraten.csv,1.0,0.5,0.13,0.2,0.82,0.65,0.33,0.24,0.6,0.95
scite-ru.csv,0.71,0.4,0.14,0.18,0.7,0.46,0.95,0.15,0.69,0.89
vrjuggler.csv,0.71,0.25,0.18,0.13,0.4,0.39,0.21,1.0,0.81,0.89
xuggle.csv,0.67,0.38,0.2,1.0,0.64,0.32,0.35,0.0,0.6,0.85
