,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.41,0.5,0.27,0.41,0.3,0.41,0.14,0.06,0.95,0.46
chaosrts.csv,1.0,0.96,1.0,0.98,1.0,0.85,1.0,1.0,0.99,0.99
lazarus-ccr.csv,0.46,0.96,0.0,0.48,0.14,0.26,0.05,0.0,0.3,0.45
linuxsh.csv,0.62,0.25,0.91,0.28,0.45,0.32,0.05,0.06,0.09,0.26
migen.csv,0.59,0.46,0.18,0.52,0.52,1.0,0.24,0.0,0.23,0.4
moviesandbox.csv,0.72,0.29,0.09,0.3,0.93,0.41,0.05,0.12,0.16,0.18
sauerbraten.csv,0.97,0.33,0.73,0.28,0.52,0.44,0.33,0.38,0.85,0.14
scite-ru.csv,0.69,0.67,0.09,0.46,0.16,0.74,0.86,0.12,0.25,0.83
vrjuggler.csv,0.13,0.17,0.18,0.26,0.09,0.47,0.38,0.88,0.25,0.35
xuggle.csv,0.1,0.5,0.73,0.8,0.2,0.35,0.33,0.0,0.85,0.24
