,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.8,0.61,0.71,0.58,0.06,0.78,0.77
encog-java.csv,0.11,0.86,0.78,0.95,0.89,0.77,0.9
galaxium.csv,0.6,0.61,0.77,0.71,0.85,0.78,0.03
h2database.csv,0.5,0.09,0.88,0.71,0.86,0.84,0.67
haphazard.csv,0.96,0.89,0.84,0.95,0.74,0.08,0.85
jaql.csv,0.49,0.56,0.69,0.02,0.7,0.72,0.64
raven-monitoring.csv,0.71,0.67,0.03,0.74,0.87,0.67,0.8
