,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.21,0.25,0.43,0.54,0.96,0.23,0.32
encog-java.csv,0.94,0.13,0.58,0.1,0.59,0.33,0.29
galaxium.csv,0.26,0.29,0.33,0.41,0.24,0.23,0.99
h2database.csv,0.31,0.95,0.2,0.41,0.23,0.18,0.4
haphazard.csv,0.06,0.16,0.25,0.09,0.38,0.96,0.2
jaql.csv,0.3,0.28,0.49,0.98,0.59,0.29,0.5
raven-monitoring.csv,0.23,0.22,0.99,0.36,0.42,0.31,0.31
