,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.92,0.38,0.73,0.57,0.82,0.56,0.38,0.44,0.74,0.22
chaosrts.csv,0.85,0.92,1.0,0.98,0.25,0.56,0.57,0.12,1.0,0.78
lazarus-ccr.csv,0.97,0.83,1.0,0.91,0.95,0.71,0.52,0.69,1.0,0.87
linuxsh.csv,0.79,0.62,0.55,0.17,0.7,0.38,0.0,0.06,0.16,0.09
migen.csv,0.67,0.42,0.36,0.54,0.57,0.68,0.05,0.06,0.18,0.65
moviesandbox.csv,0.79,0.46,0.45,0.5,0.68,0.53,0.1,0.06,0.17,0.6
sauerbraten.csv,0.79,0.88,1.0,0.93,1.0,0.82,0.95,1.0,0.9,0.94
scite-ru.csv,0.97,1.0,1.0,0.87,0.91,0.97,0.38,0.81,0.52,1.0
vrjuggler.csv,0.0,0.08,0.0,0.0,0.07,0.15,0.24,0.75,0.01,0.17
xuggle.csv,0.74,0.67,0.73,0.76,0.73,0.59,0.62,0.19,0.74,0.38
