,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.88,0.46,0.58,0.38,0.8,0.6,0.37,0.47,0.33,0.16
chaosrts.csv,0.88,0.46,1.0,0.75,0.23,0.63,0.63,0.17,1.0,0.21
lazarus-ccr.csv,0.83,0.25,1.0,0.91,0.8,0.7,0.52,0.68,1.0,0.68
linuxsh.csv,0.67,0.68,0.35,0.09,0.63,0.37,0.06,0.03,0.16,0.16
migen.csv,0.38,0.57,0.2,0.17,0.23,0.35,0.02,0.05,0.22,0.58
moviesandbox.csv,0.5,0.57,0.16,0.27,0.37,0.3,0.08,0.03,0.22,0.53
sauerbraten.csv,0.29,0.5,1.0,0.8,0.91,0.88,0.94,1.0,0.82,0.89
scite-ru.csv,0.79,0.96,0.96,0.67,0.89,0.91,0.17,0.76,0.55,1.0
vrjuggler.csv,0.0,0.18,0.0,0.0,0.14,0.28,0.23,0.41,0.0,0.21
xuggle.csv,0.42,0.5,0.69,0.21,0.6,0.47,0.38,0.41,0.62,0.42
