,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.63,0.41,0.2,0.16,0.56,0.42,0.3,0.2,0.78,0.91
chaosrts.csv,0.61,0.63,0.17,0.14,0.58,0.41,0.27,0.17,0.62,0.96
lazarus-ccr.csv,0.66,0.74,0.17,0.11,0.6,0.44,0.29,0.22,0.62,0.9
linuxsh.csv,0.66,0.44,0.24,0.2,0.58,0.45,0.0,0.33,0.61,0.8
migen.csv,0.74,0.38,0.27,0.28,0.76,0.61,0.5,0.25,0.57,0.89
moviesandbox.csv,0.72,0.41,0.36,0.19,0.7,0.58,0.33,0.33,0.56,0.89
sauerbraten.csv,0.82,0.6,0.17,0.13,0.58,0.42,0.29,0.21,0.64,0.89
scite-ru.csv,0.67,0.47,0.17,0.14,0.56,0.46,0.47,0.22,0.61,0.88
vrjuggler.csv,0.0,0.29,0.0,0.0,0.38,0.29,0.29,0.33,1.0,0.86
xuggle.csv,0.74,0.53,0.17,0.31,0.6,0.5,0.39,0.11,0.66,0.87
