,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.57,0.38,0.66,0.47,0.77,0.53,0.55,0.74,0.79,0.67,0.53,0.6,0.51,0.72,0.59
amateur-scrolls.csv,0.62,0.0,0.47,0.78,0.51,0.33,0.42,0.6,0.0,0.2,0.33,0.35,0.36,0.7,0.35
biopax.csv,0.09,0.61,0.0,0.5,0.54,0.0,0.33,0.21,0.17,0.0,0.09,0.21,0.83,0.47,0.0
crux-framework.csv,0.12,0.46,0.18,0.12,0.04,0.15,0.18,0.2,0.0,0.45,0.33,0.06,0.09,0.26,0.98
exl.csv,0.64,0.53,0.57,0.6,0.48,0.36,0.44,0.64,0.28,0.33,0.51,0.4,0.41,0.78,0.49
ikvm.csv,0.39,0.89,0.36,0.39,0.45,0.47,0.57,0.27,0.52,0.23,0.39,0.35,0.32,0.19,0.36
irrlicht.csv,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
les-indemodables.csv,0.66,0.52,0.57,0.63,0.63,0.59,0.58,0.63,0.64,0.52,0.56,0.65,0.41,0.64,0.57
lportal.csv,0.06,0.27,0.15,0.0,0.24,0.06,0.0,0.18,0.15,0.74,0.12,0.56,0.17,0.39,0.38
ns-3-dev-def-routing.csv,0.65,0.48,0.64,0.44,0.7,0.51,0.56,0.78,0.41,0.69,0.63,0.6,0.58,0.69,0.75
qpe.csv,0.72,0.37,0.45,0.45,0.5,0.57,0.54,0.7,0.43,0.62,0.59,0.22,0.25,0.39,0.87
sigil.csv,0.61,0.35,0.76,0.76,0.73,0.52,0.61,0.79,0.42,0.71,0.56,0.63,0.39,0.78,0.52
ultimairis.csv,0.35,0.51,0.36,0.58,0.24,0.65,0.67,0.1,0.68,0.05,0.64,0.48,0.6,0.74,0.69
unflobtactical.csv,0.71,0.63,0.66,0.78,0.75,0.5,0.61,0.79,0.47,0.64,0.59,0.52,0.73,0.71,0.51
xbg.csv,0.18,0.21,0.06,0.06,0.39,0.39,0.37,0.14,0.85,0.05,0.05,0.25,0.12,0.09,0.0
