,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.15,0.07,0.93,0.42,0.86,0.7,0.6,0.41,0.12,0.53,0.36,0.43
baadengine.csv,0.99,0.5,0.69,0.58,0.0,0.52,0.6,0.82,0.39,0.69,0.59,0.76
chaosrts.csv,0.09,0.3,0.27,0.61,0.17,0.64,0.49,0.59,0.46,0.73,0.99,0.21
chaperon.csv,0.0,0.05,0.11,0.12,0.0,1.0,0.0,0.0,0.17,0.07,0.01,0.0
empyrean.csv,0.5,0.98,0.56,0.52,0.53,0.55,0.44,0.49,0.46,0.39,0.54,0.36
hydrate.csv,0.41,0.19,0.53,0.5,0.54,0.29,0.52,0.58,0.32,0.49,0.43,1.0
jaxlib.csv,0.04,0.01,0.0,0.02,1.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0
joustsim.csv,0.51,0.3,0.65,0.35,0.51,0.29,0.4,1.0,0.38,0.62,0.12,0.5
loki-lib.csv,0.47,0.54,0.66,0.6,0.69,0.48,0.49,0.74,0.94,0.78,0.57,0.62
owlapi.csv,0.05,0.0,0.11,0.1,0.0,0.0,0.97,0.11,0.0,0.21,0.1,0.11
pamguard.csv,0.6,0.57,0.48,0.96,0.0,0.29,0.69,0.58,0.49,0.55,0.23,0.51
poormans.csv,0.31,0.17,0.44,0.45,0.81,0.29,0.52,0.5,0.2,0.98,0.31,0.37
