,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.21,0.11,0.95,0.49,0.16,0.21,0.29,0.33,0.19,0.31,0.47,0.51
baadengine.csv,0.99,0.57,0.54,0.7,0.0,0.17,0.32,0.44,0.45,0.43,0.81,0.79
chaosrts.csv,0.85,0.79,0.47,0.72,0.08,0.17,0.25,0.32,0.58,0.44,0.99,0.77
chaperon.csv,0.0,0.08,0.14,0.18,0.0,1.0,0.0,0.0,0.22,0.1,0.03,0.0
empyrean.csv,0.6,0.99,0.47,0.58,0.12,0.36,0.28,0.33,0.49,0.28,0.67,0.42
hydrate.csv,0.51,0.26,0.48,0.58,0.09,0.17,0.37,0.35,0.36,0.42,0.54,1.0
jaxlib.csv,0.06,0.03,0.0,0.03,1.0,0.0,0.07,0.0,0.0,0.0,0.01,0.0
joustsim.csv,0.61,0.38,0.51,0.43,0.09,0.15,0.26,1.0,0.42,0.49,0.18,0.59
loki-lib.csv,0.64,0.64,0.52,0.68,0.11,0.12,0.22,0.36,0.96,0.52,0.69,0.74
owlapi.csv,0.07,0.0,0.15,0.15,0.0,0.0,0.98,0.14,0.0,0.24,0.15,0.17
pamguard.csv,0.71,0.63,0.37,0.97,0.0,0.18,0.38,0.37,0.42,0.36,0.32,0.57
poormans.csv,0.39,0.24,0.39,0.53,0.13,0.17,0.33,0.43,0.26,0.99,0.42,0.45
