,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.88,0.95,0.09,0.85,0.44,0.52,0.63,0.65,0.9,0.68,0.75,0.66
baadengine.csv,0.02,0.68,0.57,0.74,1.21,0.61,0.57,0.41,0.66,0.52,0.73,0.46
chaosrts.csv,0.98,0.92,0.94,0.7,0.96,0.65,0.69,0.78,0.85,0.58,0.01,0.95
chaperon.csv,1.0,0.96,0.92,0.9,1.0,0.0,1.0,1.0,0.87,0.94,0.99,1.0
empyrean.csv,0.57,0.03,0.59,0.67,0.58,0.51,0.66,0.59,0.61,0.72,0.63,0.82
hydrate.csv,0.66,0.86,0.57,0.76,0.81,0.76,0.56,0.54,0.74,0.58,0.69,0.0
jaxlib.csv,0.97,0.99,1.0,0.98,0.0,1.0,0.96,1.0,1.0,1.0,0.99,1.01
joustsim.csv,0.58,0.76,0.61,0.72,0.65,0.77,0.7,0.0,0.68,0.46,0.9,0.57
loki-lib.csv,0.85,0.77,0.61,0.68,0.69,0.77,0.76,0.57,0.07,0.4,0.55,0.71
owlapi.csv,0.96,1.0,0.91,0.92,1.0,1.01,0.04,0.91,1.0,0.83,0.92,0.91
pamguard.csv,0.64,0.63,0.75,0.05,1.18,0.76,0.49,0.52,0.76,0.61,0.81,0.72
poormans.csv,0.86,0.87,0.67,0.63,0.54,0.76,0.58,0.56,0.83,0.03,0.74,0.72
