,pci_20
exist.csv,0.58
proftp.csv,0.42
rtrt-on-gpu.csv,0.0
matrex.csv,0.34
amateur-scrolls.csv,0.86
ossbuild.csv,0.46
st-filteredstatistics.csv,0.83
pokenetonline.csv,0.57
java-gnome.csv,0.83
unflobtactical.csv,0.45
archive-crawler.csv,0.52
freedom-erp.csv,0.96
miranda-icq.csv,0.43
silvertree.csv,0.67
projectfactory.csv,0.69
autat.csv,0.92
quarkplusplus.csv,0.4
stemkit.csv,0.0
foursquared.csv,0.91
jasperreports.csv,0.56
m-a-d-n-e-s-s.csv,0.59
roolo.csv,0.67
frogatto.csv,0.86
mimosa.csv,0.52
amygdala.csv,0.8
irrlicht.csv,0.53
lcfizvtop.csv,0.78
grisbi.csv,0.39
elynx.csv,0.52
alpine.csv,0.65
mumble.csv,0.56
t-2.csv,0.61
jaolt.csv,0.87
libmesh.csv,0.64
all-plasm.csv,0.36
acdk.csv,0.4
bwapi.csv,0.94
modellus.csv,0.95
micomt.csv,0.83
mp-rechnungs-und-kundenverwaltung.csv,0.45
tcvp.csv,0.0
xstore.csv,0.83
bdbbasic.csv,0.4
tart.csv,0.58
echongl.csv,0.3
snakeyaml.csv,0.92
wheat.csv,0.5
dspace-gsoc.csv,0.86
yarp.csv,0.78
boost.csv,0.55
qse.csv,0.44
quarkplayer.csv,0.45
open-data-kit.csv,0.63
yafdotnet.csv,0.76
impala.csv,0.56
avisynth2.csv,0.55
xreal.csv,0.58
tycho.csv,0.0
nabu-library.csv,0.67
freewrl.csv,0.0
roller.csv,0.42
zabbix.csv,0.84
turbotrader-bos.csv,0.49
xpontus.csv,0.55
cascading.csv,0.78
omseek.csv,0.65
kindb.csv,0.4
panda3d.csv,0.66
gusanos.csv,0.88
truevision.csv,0.92
