,g-score
exist.csv,0.4
proftp.csv,0.63
rtrt-on-gpu.csv,0.12
matrex.csv,0.73
amateur-scrolls.csv,0.18
ossbuild.csv,0.57
st-filteredstatistics.csv,0.16
pokenetonline.csv,0.4
java-gnome.csv,0.11
unflobtactical.csv,0.44
archive-crawler.csv,0.34
freedom-erp.csv,0.24
miranda-icq.csv,0.66
silvertree.csv,0.1
projectfactory.csv,0.25
autat.csv,0.29
quarkplusplus.csv,0.58
stemkit.csv,0.0
foursquared.csv,0.34
jasperreports.csv,0.92
m-a-d-n-e-s-s.csv,0.52
roolo.csv,0.06
frogatto.csv,0.23
mimosa.csv,0.57
amygdala.csv,0.06
irrlicht.csv,0.39
lcfizvtop.csv,0.21
grisbi.csv,0.56
elynx.csv,0.0
alpine.csv,0.53
mumble.csv,0.71
t-2.csv,0.34
jaolt.csv,0.21
libmesh.csv,0.18
all-plasm.csv,0.57
acdk.csv,0.8
bwapi.csv,0.16
modellus.csv,0.25
micomt.csv,0.36
mp-rechnungs-und-kundenverwaltung.csv,0.58
tcvp.csv,0.0
xstore.csv,0.28
bdbbasic.csv,0.75
tart.csv,0.44
echongl.csv,0.46
snakeyaml.csv,0.35
wheat.csv,0.09
dspace-gsoc.csv,0.1
yarp.csv,0.19
boost.csv,0.41
qse.csv,0.77
quarkplayer.csv,0.4
open-data-kit.csv,0.41
yafdotnet.csv,0.37
impala.csv,0.4
avisynth2.csv,0.36
xreal.csv,0.62
tycho.csv,0.0
nabu-library.csv,0.01
freewrl.csv,0.05
roller.csv,0.56
zabbix.csv,0.56
turbotrader-bos.csv,0.58
xpontus.csv,0.93
cascading.csv,0.21
omseek.csv,0.58
kindb.csv,0.75
panda3d.csv,0.25
gusanos.csv,0.12
truevision.csv,0.3
