,recall
exist.csv,0.35
proftp.csv,0.6
rtrt-on-gpu.csv,0.1
matrex.csv,0.82
amateur-scrolls.csv,0.15
ossbuild.csv,0.56
st-filteredstatistics.csv,0.13
pokenetonline.csv,0.35
java-gnome.csv,0.09
unflobtactical.csv,0.4
archive-crawler.csv,0.3
freedom-erp.csv,0.2
miranda-icq.csv,0.75
silvertree.csv,0.08
projectfactory.csv,0.21
autat.csv,0.25
quarkplusplus.csv,0.54
stemkit.csv,0.0
foursquared.csv,0.29
jasperreports.csv,0.96
m-a-d-n-e-s-s.csv,0.48
roolo.csv,0.05
frogatto.csv,0.19
mimosa.csv,0.53
amygdala.csv,0.05
irrlicht.csv,0.35
lcfizvtop.csv,0.18
grisbi.csv,0.52
elynx.csv,0.0
alpine.csv,0.5
mumble.csv,0.68
t-2.csv,0.3
jaolt.csv,0.18
libmesh.csv,0.15
all-plasm.csv,0.57
acdk.csv,0.82
bwapi.csv,0.13
modellus.csv,0.21
micomt.csv,0.31
mp-rechnungs-und-kundenverwaltung.csv,0.55
tcvp.csv,0.0
xstore.csv,0.24
bdbbasic.csv,0.95
tart.csv,0.4
echongl.csv,0.88
snakeyaml.csv,0.3
wheat.csv,0.07
dspace-gsoc.csv,0.08
yarp.csv,0.16
boost.csv,0.37
qse.csv,0.8
quarkplayer.csv,0.36
open-data-kit.csv,0.36
yafdotnet.csv,0.32
impala.csv,0.36
avisynth2.csv,0.33
xreal.csv,0.6
tycho.csv,0.0
nabu-library.csv,0.01
freewrl.csv,0.04
roller.csv,0.53
zabbix.csv,0.51
turbotrader-bos.csv,0.54
xpontus.csv,1.0
cascading.csv,0.18
omseek.csv,0.55
kindb.csv,0.71
panda3d.csv,0.21
gusanos.csv,0.1
truevision.csv,0.26
