,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.57,0.46,0.41,0.56,0.65,0.45,0.33,0.49,0.49,0.55,0.55,0.77,0.66,0.63,0.71,0.5,0.86
arm-webradio.csv,0.72,0.53,0.95,0.97,0.97,0.7,0.76,0.93,0.57,0.71,0.77,0.81,0.59,0.67,0.61,0.49,0.7
codepurge.csv,0.48,0.43,0.89,0.53,0.78,0.41,0.75,0.44,0.88,0.61,0.54,0.33,0.6,0.45,0.69,0.45,0.52
fw4spl.csv,0.89,0.61,0.73,0.62,0.66,0.8,0.39,0.53,0.9,0.69,0.68,0.6,0.53,0.67,0.71,0.7,0.59
glas.csv,0.58,0.46,0.41,0.43,0.48,0.52,0.35,0.52,0.55,0.36,0.45,0.37,0.58,0.44,0.53,0.42,0.6
grisbi.csv,0.46,0.4,0.45,0.44,0.42,0.4,0.33,0.47,0.48,0.35,0.41,0.36,0.42,0.48,0.41,0.35,0.55
gwanted.csv,0.56,0.51,0.37,0.7,0.6,0.67,0.27,0.38,0.55,0.44,0.5,0.42,0.53,0.48,0.62,0.42,0.45
lcfizvtop.csv,0.48,0.48,0.58,0.46,0.48,0.59,0.35,0.4,0.43,0.33,0.39,0.35,0.4,0.49,0.38,0.32,0.59
ldview.csv,0.62,0.45,0.43,0.45,0.59,0.48,0.34,0.55,0.49,0.5,0.41,0.39,0.95,0.51,0.49,0.57,0.56
libmesh.csv,0.95,0.83,0.96,0.98,0.86,0.63,0.56,0.76,0.88,0.84,0.67,0.99,0.0,0.94,0.93,0.81,0.68
mediaportal.csv,0.5,0.97,0.96,0.91,0.94,0.83,0.5,0.75,0.67,0.86,0.8,0.55,0.67,0.89,0.75,0.79,0.66
olex2.csv,0.0,0.68,0.48,0.63,0.59,0.57,0.44,0.88,0.86,0.52,0.79,0.5,0.83,0.86,0.89,0.45,0.4
oppna-program-hsatools.csv,0.5,0.55,0.41,0.43,0.42,0.55,0.28,0.39,0.61,0.34,0.5,0.37,0.87,0.45,0.61,0.4,0.67
qlc.csv,0.4,0.44,0.42,0.62,0.84,0.55,0.41,0.46,0.43,0.69,0.44,0.38,0.57,0.4,0.56,0.39,0.0
somap.csv,0.48,0.39,0.41,0.39,0.43,0.39,0.32,0.46,0.45,0.38,0.39,0.36,0.4,0.42,0.4,0.36,0.56
wxcode.csv,0.71,0.91,0.44,0.57,0.5,0.59,0.36,0.45,0.86,0.92,0.61,0.43,0.83,0.65,0.88,0.62,0.64
xcf.csv,0.53,0.49,0.37,0.47,0.54,0.44,0.33,0.5,0.45,0.4,0.47,0.42,0.69,0.5,0.45,0.38,0.97
