,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.41,0.34,0.0,0.37,0.6,0.29,0.7,1.0,0.95,1.0,0.57,0.64,0.38,0.53,0.45,0.54,0.73
botsnscouts.csv,0.4,0.25,0.2,0.08,0.37,0.2,1.0,0.4,1.0,0.0,0.43,0.75,0.32,0.64,0.45,1.0,0.64
cities3d.csv,0.34,0.39,0.3,1.0,0.47,0.24,0.47,0.34,0.98,0.24,0.55,0.36,0.17,0.65,0.4,0.47,0.71
dynalloy.csv,1.0,0.39,0.0,0.12,0.62,0.28,0.69,0.41,0.94,0.38,0.66,0.42,0.3,0.76,0.48,0.85,0.77
electric-core.csv,0.34,1.0,0.35,0.1,0.35,0.26,0.53,0.31,0.99,0.22,0.58,0.38,0.17,0.71,0.4,0.45,0.8
findbugs.csv,0.32,0.34,0.17,0.19,0.48,0.24,0.36,0.83,0.98,0.14,1.0,0.28,0.5,0.65,1.0,0.82,0.76
img-browse-sort.csv,0.43,0.17,0.0,0.11,0.36,0.54,0.64,0.11,1.0,0.22,0.73,0.5,0.93,0.0,0.33,0.99,0.75
jparsec.csv,0.4,0.26,0.32,0.12,0.37,0.33,0.58,0.36,0.99,0.23,0.58,1.0,0.28,0.73,0.36,0.82,0.69
moast.csv,0.39,0.34,0.17,0.09,0.54,0.41,0.56,0.31,0.98,0.13,0.49,0.42,0.29,0.73,0.39,1.0,0.71
mptvseries.csv,0.53,0.45,0.22,0.15,0.95,0.35,0.77,0.8,0.96,0.16,0.88,0.44,0.0,0.69,0.58,0.93,0.8
mvnforum.csv,0.61,0.16,0.0,0.12,0.33,1.0,0.43,0.0,1.0,0.09,0.62,0.57,0.0,0.5,0.27,1.0,1.0
nosleepsoftware.csv,0.14,0.27,1.0,0.16,0.25,0.18,0.78,0.6,0.97,0.55,0.59,0.71,0.32,0.86,0.47,0.39,0.87
ogre.csv,0.36,0.21,0.25,0.09,0.4,0.29,0.5,0.36,1.0,0.19,0.55,0.39,0.25,0.68,0.38,0.89,0.77
openfrag.csv,0.42,0.26,0.23,0.09,0.46,0.32,0.59,0.44,0.97,0.26,1.0,0.44,0.34,0.73,0.39,0.92,0.8
qdvdauthor.csv,0.28,0.24,0.3,0.03,0.12,0.39,0.75,0.38,0.99,0.16,0.64,0.48,0.22,1.0,0.24,0.91,0.81
sumatrapdf.csv,0.4,0.39,0.06,0.19,0.42,0.33,0.68,1.0,0.97,0.29,0.77,0.48,0.35,0.71,0.49,0.91,0.88
zxing.csv,0.31,0.25,0.29,0.1,0.4,0.19,0.62,0.0,0.98,0.24,0.46,0.38,0.12,0.75,0.35,0.56,1.0
