,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,7.0,1.0,62.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
botsnscouts.csv,0.0,20.0,0.0,16.0,6.0,1.0,0.0,1.0,0.0,83.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0
cities3d.csv,2.0,0.0,1.0,0.0,5.0,1.0,6.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
dynalloy.csv,0.0,0.0,62.0,8.0,3.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0
electric-core.csv,2.0,0.0,1.0,58.0,6.0,1.0,5.0,3.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
findbugs.csv,2.0,7.0,1.0,13.0,4.0,0.0,7.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
img-browse-sort.csv,2.0,5.0,62.0,43.0,4.0,0.0,2.0,4.0,0.0,13.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0
jparsec.csv,2.0,3.0,1.0,15.0,8.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0
moast.csv,0.0,4.0,1.0,32.0,4.0,4.0,4.0,0.0,0.0,9.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
mptvseries.csv,1.0,8.0,9.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
mvnforum.csv,0.0,4.0,62.0,3.0,3.0,0.0,4.0,85.0,0.0,7.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0
nosleepsoftware.csv,2.0,16.0,0.0,18.0,6.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0
ogre.csv,2.0,7.0,1.0,53.0,6.0,1.0,6.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0
openfrag.csv,0.0,15.0,1.0,48.0,2.0,1.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
qdvdauthor.csv,0.0,17.0,6.0,94.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,1.0
sumatrapdf.csv,0.0,10.0,8.0,16.0,8.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
zxing.csv,1.0,10.0,1.0,10.0,4.0,1.0,3.0,85.0,0.0,5.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0
