,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.47,0.47,0.8,0.67,0.64,0.32,0.19,0.25,0.47,0.39,0.5,0.71,0.37
cuberok.csv,0.11,0.48,0.6,0.05,0.64,0.41,0.51,0.36,0.84,0.43,0.65,0.88,0.68
exist.csv,1.0,0.7,0.6,0.72,0.77,0.91,0.9,1.0,0.78,0.79,0.81,0.88,1.0
google-web-toolkit.csv,1.0,0.91,0.8,0.21,0.36,0.55,0.3,0.57,0.67,0.36,0.7,0.21,0.53
gwanted.csv,0.58,0.42,0.6,0.59,0.5,0.29,0.35,0.64,0.41,0.25,0.7,0.25,0.58
ivatamasks.csv,1.0,0.77,1.0,0.54,1.0,0.84,0.65,0.86,0.88,0.96,0.69,1.0,0.95
ivataopenportal.csv,0.89,0.81,1.0,0.85,1.0,0.73,0.77,0.82,0.96,1.0,0.85,1.0,1.0
jaxen.csv,0.89,0.35,1.0,0.97,0.86,0.84,0.61,0.93,0.74,0.68,0.74,0.75,0.53
rockbox.csv,0.84,0.37,0.8,0.54,0.5,0.17,0.29,0.5,0.39,0.39,0.45,0.5,0.74
rodin-b-sharp.csv,0.63,0.35,0.0,0.97,0.41,0.14,0.82,0.54,0.41,0.39,0.27,0.62,0.16
tcl.csv,0.53,0.91,0.2,0.74,0.64,0.99,0.76,0.82,0.2,0.39,0.27,0.33,0.26
umber.csv,0.79,0.96,0.8,0.95,0.68,0.47,0.97,0.75,0.92,0.93,0.8,0.88,0.95
wheat.csv,0.58,0.44,0.2,0.0,0.5,0.46,0.58,0.21,0.97,0.64,0.56,0.5,0.84
