,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.69,0.84,0.45,0.58,0.57,0.42,0.56,0.44,0.53,0.5,0.54,0.46
miranda-icq.csv,0.52,0.48,0.53,0.39,0.75,0.48,0.46,0.75,0.51,0.39,0.42,0.54
pclasses.csv,0.65,0.46,0.0,0.9,0.92,0.5,0.9,0.0,0.0,0.66,0.64,0.49
pfaedit.csv,0.75,0.62,0.0,0.56,0.38,0.5,0.37,0.92,0.0,0.45,0.44,0.7
rockbox.csv,0.6,0.34,0.0,0.41,0.31,0.59,0.36,0.94,0.91,0.49,0.44,0.36
theresa.csv,0.53,0.36,0.62,0.47,0.34,0.5,0.5,0.36,0.47,0.39,0.51,0.56
thrust.csv,0.75,0.92,0.7,0.0,0.43,0.94,0.89,0.61,0.64,0.97,0.78,0.67
tktoolkit.csv,0.41,0.35,0.62,0.37,0.31,0.44,0.37,0.79,0.38,0.39,0.45,0.43
trinitycore.csv,0.47,0.56,0.67,0.5,0.33,0.47,0.33,0.95,0.96,0.45,0.54,0.86
tzod.csv,0.85,0.44,0.46,0.73,0.38,0.86,0.47,0.38,0.44,0.37,0.52,0.53
yaprm.csv,0.48,0.55,0.0,0.53,0.0,0.62,0.4,0.95,0.67,0.37,0.52,0.6
