,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.45,0.34,0.83,0.55,0.4,0.33,0.4,0.36,0.62,0.0,0.52,0.55
miranda-icq.csv,0.63,0.52,0.59,0.45,0.38,0.32,0.47,0.05,0.64,0.61,0.57,0.47
pclasses.csv,0.8,0.52,0.0,0.0,0.16,0.0,0.1,0.05,0.0,0.31,0.5,0.56
pfaedit.csv,0.0,0.56,0.0,0.67,0.77,0.07,0.68,0.26,0.02,0.49,0.52,0.37
rockbox.csv,0.31,0.66,0.0,0.89,0.68,0.33,0.62,0.26,0.02,0.39,0.62,0.77
theresa.csv,0.21,0.66,0.33,0.94,0.69,0.0,0.47,0.59,0.41,0.57,0.48,0.42
thrust.csv,0.0,0.18,0.51,0.0,0.51,0.57,0.31,0.53,0.32,0.2,0.31,0.41
tktoolkit.csv,0.48,0.3,0.5,0.52,0.57,0.6,0.62,0.56,0.13,0.0,0.53,0.33
trinitycore.csv,0.76,0.37,0.09,0.81,0.7,0.44,0.56,0.3,0.25,0.57,0.67,0.19
tzod.csv,0.11,0.6,0.76,0.7,0.65,0.28,0.51,0.44,0.6,0.62,0.48,0.36
yaprm.csv,0.47,0.45,0.0,0.68,0.02,0.33,0.68,0.35,0.07,0.64,0.44,0.37
